poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3000,3000,206041504,Melbourne CBD - North,39.16,low
POA3000,3000,206041505,Melbourne CBD - West,36.33,low
POA3000,3000,206041503,Melbourne CBD - East,22.84,low
POA3000,3000,206041117,Carlton,1.43,low
POA3000,3000,206041506,North Melbourne,0.24,low
POA3002,3002,206041119,East Melbourne,100.0,high
POA3003,3003,206041510,West Melbourne - Residential,92.86,high
POA3003,3003,206041506,North Melbourne,7.13,low
POA3003,3003,206041127,West Melbourne - Industrial,0.0,low
POA3004,3004,206051128,Albert Park,50.44,low
POA3004,3004,206051514,St Kilda - West,23.46,low
POA3004,3004,206041125,South Yarra - West,22.02,low
POA3004,3004,206051512,South Melbourne,4.08,low
POA3004,3004,206041119,East Melbourne,0.0,low
POA3004,3004,206041507,Royal Botanic Gardens Victoria,0.0,low
POA3006,3006,206041509,Southbank - East,70.94,medium
POA3006,3006,206041508,Southbank (West) - South Wharf,28.43,low
POA3006,3006,206051512,South Melbourne,0.5,low
POA3006,3006,206051511,Port Melbourne Industrial,0.13,low
POA3008,3008,206041118,Docklands,99.97,high
POA3008,3008,206051511,Port Melbourne Industrial,0.03,low
POA3008,3008,206041127,West Melbourne - Industrial,0.0,low
POA3008,3008,206041508,Southbank (West) - South Wharf,0.0,low
POA3011,3011,213031348,Footscray,76.89,medium
POA3011,3011,213031350,Seddon - Kingsville,23.11,low
POA3011,3011,213031351,West Footscray - Tottenham,0.0,low
POA3012,3012,213031351,West Footscray - Tottenham,43.41,low
POA3012,3012,213031347,Braybrook,34.77,low
POA3012,3012,213031350,Seddon - Kingsville,14.42,low
POA3012,3012,213021343,Altona North,7.36,low
POA3012,3012,213011338,Sunshine West,0.03,low
POA3013,3013,213031352,Yarraville,98.82,high
POA3013,3013,213031350,Seddon - Kingsville,1.18,low
POA3015,3015,213021344,Newport,100.0,high
POA3015,3015,213021343,Altona North,0.0,low
POA3016,3016,213021346,Williamstown,99.27,high
POA3016,3016,213021344,Newport,0.73,low
POA3018,3018,213021341,Altona,100.0,high
POA3019,3019,213031347,Braybrook,100.0,high
POA3020,3020,213011338,Sunshine West,41.84,low
POA3020,3020,213011337,Sunshine North,27.15,low
POA3020,3020,213011336,Sunshine,21.23,low
POA3020,3020,213011328,Ardeer - Albion,9.79,low
POA3020,3020,213011570,Derrimut,0.0,low
POA3021,3021,213011334,St Albans - North,37.33,low
POA3021,3021,213011335,St Albans - South,31.65,low
POA3021,3021,213011333,Kings Park (Vic.),25.17,low
POA3021,3021,213011332,Keilor Downs,5.86,low
POA3022,3022,213011328,Ardeer - Albion,100.0,high
POA3022,3022,213011569,Deer Park,0.0,low
POA3023,3023,213041463,Caroline Springs,30.32,low
POA3023,3023,213011569,Deer Park,26.82,low
POA3023,3023,213011329,Cairnlea,14.95,low
POA3023,3023,213041462,Burnside Heights,9.55,low
POA3023,3023,213041461,Burnside,8.64,low
POA3023,3023,213041360,Taylors Hill,6.1,low
POA3023,3023,213041359,Rockbank - Mount Cottrell,3.42,low
POA3023,3023,213011333,Kings Park (Vic.),0.19,low
POA3023,3023,213011570,Derrimut,0.0,low
POA3024,3024,213051590,Wyndham Vale - South,39.89,low
POA3024,3024,213051579,Manor Lakes - Quandong,31.18,low
POA3024,3024,213051589,Wyndham Vale - North,26.55,low
POA3024,3024,213051468,Werribee - West,0.93,low
POA3024,3024,213041359,Rockbank - Mount Cottrell,0.73,low
POA3024,3024,213051582,Tarneit (West) - Mount Cottrell,0.73,low
POA3025,3025,213021343,Altona North,100.0,high
POA3025,3025,213021344,Newport,0.0,low
POA3026,3026,213011570,Derrimut,98.57,high
POA3026,3026,213051363,Laverton,1.43,low
POA3027,3027,213051363,Laverton,69.62,medium
POA3027,3027,213051587,Truganina - South East,30.38,low
POA3028,3028,213021342,Altona Meadows,65.6,medium
POA3028,3028,213021345,Seabrook,17.56,low
POA3028,3028,213051363,Laverton,16.84,low
POA3029,3029,213051583,Tarneit - Central,21.66,low
POA3029,3029,213051588,Truganina - South West,14.68,low
POA3029,3029,213051362,Hoppers Crossing - South,14.45,low
POA3029,3029,213051361,Hoppers Crossing - North,14.16,low
POA3029,3029,213051585,Tarneit - South,8.61,low
POA3029,3029,213051582,Tarneit (West) - Mount Cottrell,7.62,low
POA3029,3029,213051586,Truganina - North,7.15,low
POA3029,3029,213051584,Tarneit - North,5.56,low
POA3029,3029,213051587,Truganina - South East,5.19,low
POA3029,3029,213041359,Rockbank - Mount Cottrell,0.9,low
POA3030,3030,213051468,Werribee - West,17.86,low
POA3030,3030,213051464,Point Cook - East,16.14,low
POA3030,3030,213051466,Point Cook - South,16.02,low
POA3030,3030,213051467,Werribee - East,15.97,low
POA3030,3030,213051368,Werribee - South,14.11,low
POA3030,3030,213051580,Point Cook - North East,11.87,low
POA3030,3030,213051581,Point Cook - North West,8.03,low
POA3030,3030,213051579,Manor Lakes - Quandong,0.0,low
POA3031,3031,206041121,Kensington (Vic.),60.5,medium
POA3031,3031,206031115,Flemington,39.07,low
POA3031,3031,206041120,Flemington Racecourse,0.43,low
POA3032,3032,206031113,Ascot Vale,50.79,low
POA3032,3032,213031349,Maribyrnong,42.13,low
POA3032,3032,206031115,Flemington,7.07,low
POA3033,3033,210011534,Keilor East,99.93,high
POA3033,3033,210011228,Keilor,0.07,low
POA3034,3034,210011533,Avondale Heights,100.0,high
POA3036,3036,210011228,Keilor,97.87,high
POA3036,3036,213011340,Taylors Lakes,1.09,low
POA3036,3036,210051248,Melbourne Airport,1.04,low
POA3036,3036,213011332,Keilor Downs,0.0,low
POA3037,3037,213041575,Hillside,31.5,low
POA3037,3037,213041360,Taylors Hill,30.03,low
POA3037,3037,213011339,Sydenham,22.8,low
POA3037,3037,213011331,Delahey,15.66,low
POA3037,3037,213011340,Taylors Lakes,0.0,low
POA3038,3038,213011340,Taylors Lakes,63.02,medium
POA3038,3038,213011332,Keilor Downs,36.98,low
POA3039,3039,206031116,Moonee Ponds,100.0,high
POA3040,3040,206031501,Essendon (West) - Aberfeldie,48.51,low
POA3040,3040,206031502,Essendon - East,45.63,low
POA3040,3040,210011230,Niddrie - Essendon West,5.86,low
POA3041,3041,210011231,Strathmore,76.52,medium
POA3041,3041,206031501,Essendon (West) - Aberfeldie,23.38,low
POA3041,3041,210011227,Essendon Airport,0.1,low
POA3042,3042,210011226,Airport West,48.66,low
POA3042,3042,210011230,Niddrie - Essendon West,35.23,low
POA3042,3042,210011228,Keilor,16.12,low
POA3042,3042,210011534,Keilor East,0.0,low
POA3043,3043,210051245,Gladstone Park - Westmeadows,45.85,low
POA3043,3043,210051250,Tullamarine,36.71,low
POA3043,3043,210031439,Gowanbrae,17.39,low
POA3043,3043,210011228,Keilor,0.05,low
POA3044,3044,210031538,Pascoe Vale,57.06,low
POA3044,3044,206011109,Pascoe Vale South,35.5,low
POA3044,3044,210031537,Oak Park,6.51,low
POA3044,3044,206011498,Coburg - West,0.57,low
POA3044,3044,210031236,Coburg North,0.37,low
POA3045,3045,210051248,Melbourne Airport,99.98,high
POA3045,3045,210051250,Tullamarine,0.02,low
