sal_code_2021,sal_name_2021,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
SAL20001,Abbeyard,204031071,Myrtleford,97.25,high
SAL20001,Abbeyard,204031069,Bright - Mount Beauty,2.75,low
SAL20002,Abbotsford (Vic.),206071139,Abbotsford,100.0,high
SAL20002,Abbotsford (Vic.),206071145,Clifton Hill - Alphington,0.0,low
SAL20003,Aberfeldie,206031501,Essendon (West) - Aberfeldie,48.51,low
SAL20003,Aberfeldie,206031502,Essendon - East,45.63,low
SAL20003,Aberfeldie,210011230,Niddrie - Essendon West,5.86,low
SAL20004,Aberfeldy,205041095,Moe - Newborough,82.06,medium
SAL20004,Aberfeldy,205011077,Mount Baw Baw Region,10.55,low
SAL20004,Aberfeldy,205041098,Yallourn North - Glengarry,7.14,low
SAL20004,Aberfeldy,205011078,Trafalgar (Vic.),0.26,low
SAL20004,Aberfeldy,205051101,Maffra,0.0,low
SAL20005,Acheron,204011054,Alexandra,100.0,high
SAL20006,Ada,205011077,Mount Baw Baw Region,100.0,high
SAL20006,Ada,204011061,Upper Yarra Valley,0.0,low
SAL20007,Adams Estate,205031093,Wonthaggi - Inverloch,60.84,medium
SAL20007,Adams Estate,212011548,Koo Wee Rup,38.97,low
SAL20007,Adams Estate,205031089,Korumburra,0.19,low
SAL20008,Addington,201021012,Gordon (Vic.),22.66,low
SAL20008,Addington,201011008,Wendouree - Miners Rest,21.81,low
SAL20008,Addington,201011001,Alfredton,10.67,low
SAL20008,Addington,201031015,Golden Plains - North,7.47,low
SAL20008,Addington,201011006,Delacombe,6.5,low
SAL20008,Addington,201021010,Creswick - Clunes,5.58,low
SAL20008,Addington,201011482,Ballarat North - Invermay,5.57,low
SAL20008,Addington,203011035,Golden Plains - South,4.7,low
SAL20008,Addington,201031014,Beaufort,3.8,low
SAL20008,Addington,201011481,Ballarat East - Warrenheip,3.56,low
SAL20008,Addington,201031013,Avoca,3.54,low
SAL20008,Addington,201011005,Buninyong,2.49,low
SAL20008,Addington,201011007,Smythes Creek,1.53,low
SAL20008,Addington,217031474,Corangamite - North,0.13,low
SAL20009,Adelaide Lead,201031016,Maryborough (Vic.),80.8,medium
SAL20009,Adelaide Lead,201031017,Maryborough Surrounds,17.36,low
SAL20009,Adelaide Lead,201031013,Avoca,1.54,low
SAL20009,Adelaide Lead,215011391,St Arnaud,0.29,low
SAL20010,Agnes,205031087,Foster,95.93,high
