poa_code_2021,postcode,display_label
POA3000,3000,Postcode 3000
POA3002,3002,Postcode 3002
POA3003,3003,Postcode 3003
POA3004,3004,Postcode 3004
POA3006,3006,Postcode 3006
POA3008,3008,Postcode 3008
POA3011,3011,Postcode 3011
POA3012,3012,Postcode 3012
POA3013,3013,Postcode 3013
POA3015,3015,Postcode 3015
POA3016,3016,Postcode 3016
POA3018,3018,Postcode 3018
POA3019,3019,Postcode 3019
POA3020,3020,Postcode 3020
POA3021,3021,Postcode 3021
POA3022,3022,Postcode 3022
POA3023,3023,Postcode 3023
POA3024,3024,Postcode 3024
POA3025,3025,Postcode 3025
POA3026,3026,Postcode 3026
POA3027,3027,Postcode 3027
POA3028,3028,Postcode 3028
POA3029,3029,Postcode 3029
POA3030,3030,Postcode 3030
POA3031,3031,Postcode 3031
POA3032,3032,Postcode 3032
POA3033,3033,Postcode 3033
POA3034,3034,Postcode 3034
POA3036,3036,Postcode 3036
POA3037,3037,Postcode 3037
POA3038,3038,Postcode 3038
POA3039,3039,Postcode 3039
POA3040,3040,Postcode 3040
POA3041,3041,Postcode 3041
POA3042,3042,Postcode 3042
POA3043,3043,Postcode 3043
POA3044,3044,Postcode 3044
POA3045,3045,Postcode 3045
POA3046,3046,Postcode 3046
POA3047,3047,Postcode 3047
POA3048,3048,Postcode 3048
POA3049,3049,Postcode 3049
POA3051,3051,Postcode 3051
POA3052,3052,Postcode 3052
POA3053,3053,Postcode 3053
POA3054,3054,Postcode 3054
POA3055,3055,Postcode 3055
POA3056,3056,Postcode 3056
POA3057,3057,Postcode 3057
POA3058,3058,Postcode 3058
POA3059,3059,Postcode 3059
POA3060,3060,Postcode 3060
POA3061,3061,Postcode 3061
POA3062,3062,Postcode 3062
POA3063,3063,Postcode 3063
POA3064,3064,Postcode 3064
POA3065,3065,Postcode 3065
POA3066,3066,Postcode 3066
POA3067,3067,Postcode 3067
POA3068,3068,Postcode 3068
POA3070,3070,Postcode 3070
POA3071,3071,Postcode 3071
POA3072,3072,Postcode 3072
POA3073,3073,Postcode 3073
POA3074,3074,Postcode 3074
POA3075,3075,Postcode 3075
POA3076,3076,Postcode 3076
POA3078,3078,Postcode 3078
POA3079,3079,Postcode 3079
POA3081,3081,Postcode 3081
POA3082,3082,Postcode 3082
POA3083,3083,Postcode 3083
POA3084,3084,Postcode 3084
POA3085,3085,Postcode 3085
POA3087,3087,Postcode 3087
POA3088,3088,Postcode 3088
POA3089,3089,Postcode 3089
POA3090,3090,Postcode 3090
