sa2_code_2021,sa2_name_2021
201011001,Alfredton
201011002,Ballarat
201011005,Buninyong
201011006,Delacombe
201011007,Smythes Creek
201011008,Wendouree - Miners Rest
201011481,Ballarat East - Warrenheip
201011482,Ballarat North - Invermay
201011483,Canadian - Mount Clear
201011484,Sebastopol - Redan
201021009,Bacchus Marsh Surrounds
201021010,Creswick - Clunes
201021011,Daylesford
201021012,Gordon (Vic.)
201031013,Avoca
201031014,Beaufort
201031015,Golden Plains - North
201031016,Maryborough (Vic.)
201031017,Maryborough Surrounds
202011018,Bendigo
202011019,California Gully - Eaglehawk
202011020,East Bendigo - Kennington
202011021,Flora Hill - Spring Gully
202011022,Kangaroo Flat - Golden Square
202011023,Maiden Gully
202011024,Strathfieldsaye
202011025,White Hills - Ascot
202021026,Bendigo Surrounds - South
202021027,Castlemaine
202021028,Castlemaine Surrounds
202021029,Heathcote
202021030,Kyneton
202021031,Woodend
202031032,Bendigo Surrounds - North
202031033,Loddon
203011034,Bannockburn
203011035,Golden Plains - South
203011036,Winchelsea
203021037,Belmont
203021039,Geelong
203021040,Geelong West - Hamlyn Heights
203021042,Highton
203021043,Lara
203021044,Leopold
203021045,Newcomb - Moolap
203021046,Newtown (Vic.)
203021047,North Geelong - Bell Park
203021485,Charlemont
203021486,Corio - Lovely Banks
203021487,Grovedale - Mount Duneed
203021488,Norlane
203031048,Clifton Springs
203031049,Lorne - Anglesea
203031051,Portarlington
203031052,Point Lonsdale - Queenscliff
203031053,Torquay
203031489,Barwon Heads - Armstrong Creek
203031490,Ocean Grove
204011054,Alexandra
204011055,Euroa
204011056,Kilmore - Broadford
204011057,Mansfield (Vic.)
204011058,Nagambie
204011059,Seymour
204011060,Seymour Surrounds
204011061,Upper Yarra Valley
204011062,Yea
204021063,Benalla
204021064,Benalla Surrounds
204021065,Rutherglen
204021066,Wangaratta
204021067,Wangaratta Surrounds
204031068,Beechworth
204031069,Bright - Mount Beauty
204031070,Chiltern - Indigo Valley
204031071,Myrtleford
204031072,Towong
204031073,West Wodonga
204031075,Yackandandah
204031491,Baranduda - Leneva
204031492,Wodonga
205011076,Drouin
205011077,Mount Baw Baw Region
205011078,Trafalgar (Vic.)
205011079,Warragul
205021080,Alps - East
205021081,Bairnsdale
205021082,Bruthen - Omeo
205021083,Lake King
205021084,Lakes Entrance
205021085,Orbost
205021086,Paynesville
205031087,Foster
205031088,French Island
205031089,Korumburra
205031090,Leongatha
205031091,Phillip Island
205031092,Wilsons Promontory
205031093,Wonthaggi - Inverloch
205041094,Churchill
205041095,Moe - Newborough
205041096,Morwell
205041098,Yallourn North - Glengarry
205041493,Traralgon - East
205041494,Traralgon - West
205051099,Alps - West
205051100,Longford - Loch Sport
205051101,Maffra
205051102,Rosedale
205051103,Sale
205051104,Yarram
206011106,Brunswick East
206011107,Brunswick West
206011109,Pascoe Vale South
206011495,Brunswick - North
206011496,Brunswick - South
206011497,Coburg - East
206011498,Coburg - West
206021110,Alphington - Fairfield
206021112,Thornbury
206021499,Northcote - East
206021500,Northcote - West
206031113,Ascot Vale
206031115,Flemington
206031116,Moonee Ponds
206031501,Essendon (West) - Aberfeldie
206031502,Essendon - East
206041117,Carlton
206041118,Docklands
206041119,East Melbourne
206041120,Flemington Racecourse
206041121,Kensington (Vic.)
206041124,Parkville
206041125,South Yarra - West
206041127,West Melbourne - Industrial
206041503,Melbourne CBD - East
206041504,Melbourne CBD - North
206041505,Melbourne CBD - West
206041506,North Melbourne
206041507,Royal Botanic Gardens Victoria
206041508,Southbank (West) - South Wharf
206041509,Southbank - East
206041510,West Melbourne - Residential
206051128,Albert Park
206051129,Elwood
206051130,Port Melbourne
206051134,St Kilda East
206051511,Port Melbourne Industrial
206051512,South Melbourne
206051513,St Kilda - Central
206051514,St Kilda - West
206061135,Armadale
206061136,Prahran - Windsor
206061138,Toorak
206061515,South Yarra - North
206061516,South Yarra - South
206071139,Abbotsford
206071140,Carlton North - Princes Hill
206071141,Collingwood
206071142,Fitzroy
206071143,Fitzroy North
206071145,Clifton Hill - Alphington
206071517,Richmond (South) - Cremorne
206071518,Richmond - North
207011146,Ashburton (Vic.)
207011147,Balwyn
207011148,Balwyn North
207011149,Camberwell
207011150,Glen Iris - East
207011152,Hawthorn East
207011154,Kew East
207011155,Surrey Hills (West) - Canterbury
207011519,Hawthorn - North
207011520,Hawthorn - South
207011521,Kew - South
207011522,Kew - West
207021156,Bulleen
207021157,Doncaster
207021159,Templestowe
207021160,Templestowe Lower
207021424,Doncaster East - North
207021425,Doncaster East - South
207031161,Blackburn
207031162,Blackburn South
207031163,Box Hill
207031164,Box Hill North
207031165,Burwood (Vic.)
207031166,Burwood East
207031167,Surrey Hills (East) - Mont Albert
208011168,Beaumaris
208011169,Brighton (Vic.)
208011170,Brighton East
208011171,Highett (West) - Cheltenham
208011172,Hampton
208011173,Sandringham - Black Rock
208021174,Bentleigh - McKinnon
208021176,Carnegie
208021177,Caulfield - North
208021178,Caulfield - South
208021179,Elsternwick
208021180,Hughesdale
208021181,Murrumbeena
208021182,Ormond - Glen Huntly
208021426,Bentleigh East - North
208021427,Bentleigh East - South
208031183,Aspendale Gardens - Waterways
208031184,Braeside
208031185,Carrum - Patterson Lakes
208031186,Chelsea - Bonbeach
208031187,Chelsea Heights
208031188,Highett (East) - Cheltenham
208031189,Edithvale - Aspendale
208031190,Mentone
208031191,Moorabbin - Heatherton
208031192,Moorabbin Airport
208031193,Mordialloc - Parkdale
208041194,Malvern - Glen Iris
208041195,Malvern East
209011196,Bundoora - East
209011197,Greensborough
209011198,Heidelberg - Rosanna
209011199,Heidelberg West
209011200,Ivanhoe
209011201,Ivanhoe East - Eaglemont
209011202,Montmorency - Briar Hill
209011203,Viewbank - Yallambie
209011204,Watsonia
209021205,Kingsbury
209021428,Preston - East
209021429,Preston - West
209021523,Reservoir - North East
209021524,Reservoir - North West
209021525,Reservoir - South East
209021526,Reservoir - South West
209031209,Eltham
209031210,Hurstbridge
209031211,Kinglake
209031212,Panton Hill - St Andrews
209031213,Plenty - Yarrambat
209031214,Research - North Warrandyte
209031215,Wattle Glen - Diamond Creek
209041216,Bundoora - North
209041217,Bundoora - West
209041220,Mill Park - North
209041221,Mill Park - South
209041223,Thomastown
209041224,Wallan
209041225,Whittlesea
209041431,Epping - East
209041432,Epping - South
209041433,Epping (Vic.) - West
209041435,South Morang - North
209041436,South Morang - South
209041437,Wollert
209041527,Doreen - North
209041528,Doreen - South
209041529,Lalor - East
209041530,Lalor - West
209041531,Mernda - North
209041532,Mernda - South
210011226,Airport West
210011227,Essendon Airport
210011228,Keilor
210011230,Niddrie - Essendon West
210011231,Strathmore
210011533,Avondale Heights
210011534,Keilor East
210021232,Gisborne
210021233,Macedon
210021234,Riddells Creek
210021235,Romsey
210031236,Coburg North
210031237,Fawkner
210031439,Gowanbrae
210031440,Hadfield
210031535,Glenroy - East
210031536,Glenroy - West
210031537,Oak Park
210031538,Pascoe Vale
210041240,Sunbury
210041539,Diggers Rest
210041540,Sunbury - South
210041541,Sunbury - West
210051242,Broadmeadows
210051243,Campbellfield - Coolaroo
210051245,Gladstone Park - Westmeadows
210051246,Greenvale - Bulla
210051247,Meadow Heights
210051248,Melbourne Airport
210051250,Tullamarine
210051441,Craigieburn - Central
210051442,Craigieburn - North
210051443,Craigieburn - South
210051445,Mickleham - Yuroke
210051542,Craigieburn - North West
210051543,Craigieburn - West
210051544,Roxburgh Park (South) - Somerton
210051545,Roxburgh Park - North
211011251,Bayswater
211011254,Knoxfield - Scoresby
211011255,Lysterfield
211011256,Rowville - Central
211011257,Rowville - North
211011258,Rowville - South
211011259,Wantirna
211011260,Wantirna South
211011446,Boronia
211011447,Ferntree Gully - North
211011448,Ferntree Gully (South) - Upper Ferntree Gully
211011449,The Basin
211021261,Donvale - Park Orchards
211021262,Warrandyte - Wonga Park
211031263,Bayswater North
211031265,Croydon Hills - Warranwood
211031266,Ringwood
211031267,Ringwood East
211031268,Ringwood North
211031450,Croydon - East
211031451,Croydon - West
211031452,Croydon South
211041269,Forest Hill
211041270,Mitcham (Vic.)
211041271,Nunawading
211041272,Vermont
211041273,Vermont South
211051274,Belgrave - Selby
211051275,Chirnside Park
211051276,Healesville - Yarra Glen
211051277,Kilsyth
211051278,Lilydale - Coldstream
211051279,Monbulk - Silvan
211051280,Montrose
211051281,Mooroolbark
211051282,Mount Dandenong - Olinda
211051283,Mount Evelyn
211051284,Upwey - Tecoma
211051285,Wandin - Seville
211051286,Yarra Valley
212011289,Emerald - Cockatoo
212011546,Beaconsfield - Officer
212011547,Bunyip - Garfield
212011548,Koo Wee Rup
212011549,Pakenham - North East
212011550,Pakenham - North West
212011551,Pakenham - South East
212011552,Pakenham - South West
212021293,Berwick - North
212021295,Doveton
212021297,Hallam
212021299,Narre Warren North
212021453,Endeavour Hills - North
212021454,Endeavour Hills - South
212021455,Narre Warren - North East
212021456,Narre Warren - South West
212021553,Berwick - South East
212021554,Berwick - South West
212031300,Cranbourne
212031303,Cranbourne South
212031304,Cranbourne West
212031306,Lynbrook - Lyndhurst
212031308,Pearcedale - Tooradin
212031457,Narre Warren South - East
212031458,Narre Warren South - West
212031555,Clyde North - North
212031556,Clyde North - South
212031557,Cranbourne East - North
212031558,Cranbourne East - South
212031559,Cranbourne North - East
212031560,Cranbourne North - West
212031561,Hampton Park - East
212031562,Hampton Park - West
212041309,Clarinda - Oakleigh South
212041310,Clayton South
212041312,Dandenong North
212041313,Dingley Village
212041316,Noble Park North
212041317,Springvale
212041318,Springvale South
212041459,Noble Park - East
212041460,Noble Park - West
212041563,Dandenong - North
212041564,Dandenong - South
212041565,Keysborough - North
212041566,Keysborough - South
212051319,Ashwood - Chadstone
212051321,Glen Waverley - East
212051322,Glen Waverley - West
212051323,Mount Waverley - North
212051324,Mount Waverley - South
212051325,Mulgrave
212051326,Oakleigh - Huntingdale
212051327,Wheelers Hill
212051567,Clayton (North) - Notting Hill
212051568,Clayton - Central
213011328,Ardeer - Albion
213011329,Cairnlea
213011331,Delahey
213011332,Keilor Downs
213011333,Kings Park (Vic.)
213011334,St Albans - North
213011335,St Albans - South
213011336,Sunshine
213011337,Sunshine North
213011338,Sunshine West
213011339,Sydenham
213011340,Taylors Lakes
213011569,Deer Park
213011570,Derrimut
213021341,Altona
213021342,Altona Meadows
213021343,Altona North
213021344,Newport
213021345,Seabrook
213021346,Williamstown
213031347,Braybrook
213031348,Footscray
213031349,Maribyrnong
213031350,Seddon - Kingsville
213031351,West Footscray - Tottenham
213031352,Yarraville
213041353,Bacchus Marsh
213041358,Melton West
213041359,Rockbank - Mount Cottrell
213041360,Taylors Hill
213041461,Burnside
213041462,Burnside Heights
213041463,Caroline Springs
213041571,Brookfield
213041572,Cobblebank - Strathtulloh
213041573,Eynesbury - Exford
213041574,Fraser Rise - Plumpton
213041575,Hillside
213041576,Kurunjang - Toolern Vale
213041577,Melton
213041578,Melton South - Weir Views
213051361,Hoppers Crossing - North
213051362,Hoppers Crossing - South
213051363,Laverton
213051368,Werribee - South
213051464,Point Cook - East
213051466,Point Cook - South
213051467,Werribee - East
213051468,Werribee - West
213051579,Manor Lakes - Quandong
213051580,Point Cook - North East
213051581,Point Cook - North West
213051582,Tarneit (West) - Mount Cottrell
213051583,Tarneit - Central
213051584,Tarneit - North
213051585,Tarneit - South
213051586,Truganina - North
213051587,Truganina - South East
213051588,Truganina - South West
213051589,Wyndham Vale - North
213051590,Wyndham Vale - South
214011370,Carrum Downs
214011371,Frankston
214011372,Frankston North
214011373,Frankston South
214011374,Langwarrin
214011375,Seaford (Vic.)
214011376,Skye - Sandhurst
214021377,Dromana
214021378,Flinders
214021379,Hastings - Somers
214021381,Mount Eliza
214021382,Mount Martha
214021383,Point Nepean
214021384,Rosebud - McCrae
214021385,Somerville
214021591,Mornington - East
214021592,Mornington - West
215011386,Ararat
215011387,Ararat Surrounds
215011388,Horsham
215011389,Horsham Surrounds
215011390,Nhill Region
215011391,St Arnaud
215011392,Stawell
215011393,West Wimmera
215011394,Yarriambiack
215021395,Irymple
215021396,Merbein
215021398,Mildura Surrounds
215021399,Red Cliffs
215021469,Mildura - North
215021470,Mildura - South
215031400,Buloke
215031401,Gannawarra
215031402,Kerang
215031403,Robinvale
215031404,Swan Hill
215031405,Swan Hill Surrounds
216011406,Echuca
216011407,Kyabram
216011408,Lockington - Gunbower
216011409,Rochester
216011410,Rushworth
216021411,Cobram
216021412,Moira
216021413,Numurkah
216021414,Yarrawonga
216031415,Mooroopna
216031416,Shepparton - North
216031418,Shepparton Surrounds - East
216031419,Shepparton Surrounds - West
216031593,Kialla
216031594,Shepparton - South East
217011420,Glenelg (Vic.)
217011421,Hamilton (Vic.)
217011422,Portland
217011423,Southern Grampians
217031471,Camperdown
217031472,Colac
217031473,Colac Surrounds
217031474,Corangamite - North
217031475,Corangamite - South
217031476,Otway
217041477,Moyne - East
217041478,Moyne - West
217041479,Warrnambool - North
217041480,Warrnambool - South
297979799,Migratory - Offshore - Shipping (Vic.)
299999499,No usual address (Vic.)
