sal_code_2021,sal_name_2021
SAL10001,Aarons Pass
SAL10002,Abbotsbury
SAL10003,Abbotsford (NSW)
SAL10004,Abercrombie
SAL10005,Abercrombie River
SAL10006,Aberdare
SAL10007,Aberdeen (NSW)
SAL10008,Aberfoyle
SAL10009,Aberglasslyn
SAL10010,Abermain
SAL10011,Abernethy
SAL10012,Abington (NSW)
SAL10013,Acacia Creek
SAL10014,Acacia Gardens
SAL10015,Adaminaby
SAL10016,Adamstown
SAL10017,Adamstown Heights
SAL10018,Adelong
SAL10019,Adjungbilly
SAL10020,Afterlee
SAL10021,Agnes Banks
SAL10022,Airds
SAL10023,Akolele
SAL10024,Albert
SAL10025,Albion Park
SAL10026,Albion Park Rail
SAL10027,Albury
SAL10028,Aldavilla
SAL10029,Alectown
SAL10030,Alexandria
SAL10031,Alfords Point
SAL10032,Alfredtown
SAL10033,Alice
SAL10034,Alison (Central Coast - NSW)
SAL10035,Alison (Dungog - NSW)
SAL10036,Allambie Heights
SAL10037,Allandale (NSW)
SAL10038,Allawah
SAL10039,Alleena
SAL10040,Allgomera
SAL10041,Allworth
SAL10042,Allynbrook
SAL10043,Alma Park
SAL10044,Alpine
SAL10045,Alstonvale
SAL10046,Alstonville
SAL10047,Alumy Creek
SAL10048,Amaroo (NSW)
SAL10049,Ambarvale
SAL10050,Amosfield
SAL10051,Anabranch North
SAL10052,Anabranch South
SAL10053,Anambah
SAL10054,Ando
SAL10055,Anembo
SAL10056,Angledale
SAL10057,Angledool
SAL10058,Anglers Reach
SAL10059,Angourie
SAL10060,Angus
SAL10061,Anna Bay
SAL10062,Annandale (NSW)
SAL10063,Annangrove
SAL10064,Appin (NSW)
SAL10065,Apple Tree Flat
SAL10066,Appleby
SAL10067,Appletree Flat
SAL10068,Apsley (NSW)
SAL10069,Arable
SAL10070,Arakoon
SAL10071,Araluen (NSW)
SAL10072,Aratula (NSW)
SAL10073,Arcadia (NSW)
SAL10074,Arcadia Vale
SAL10075,Ardglen
SAL10076,Arding
SAL10077,Ardlethan
SAL10078,Argalong
SAL10079,Argenton
SAL10080,Argents Hill
SAL10081,Argoon
SAL10082,Ariah Park
SAL10083,Arkell
SAL10084,Arkstone
SAL10085,Armatree
SAL10086,Armidale
SAL10087,Arncliffe
SAL10088,Arndell Park
SAL10089,Arrawarra
SAL10090,Arrawarra Headland
SAL10091,Artarmon
SAL10092,Arthurville
SAL10093,Arumpo
SAL10094,Ashbury
SAL10095,Ashby (NSW)
SAL10096,Ashby Heights
SAL10097,Ashby Island
SAL10098,Ashcroft
SAL10099,Ashfield (NSW)
SAL10100,Ashford (NSW)
SAL10101,Ashley
SAL10102,Ashmont
SAL10103,Ashtonfield
SAL10104,Asquith
SAL10105,Atholwood
SAL10106,Attunga
SAL10107,Auburn (NSW)
SAL10108,Auburn Vale
SAL10109,Austinmer
SAL10110,Austral
SAL10111,Austral Eden
SAL10112,Avalon Beach
SAL10113,Avisford
SAL10114,Avoca (NSW)
SAL10115,Avoca Beach
SAL10116,Avon (NSW)
SAL10117,Avondale (NSW)
SAL10118,Avonside
SAL10119,Awaba
SAL10120,Aylmerton
SAL10121,Baan Baa
SAL10122,Babinda (NSW)
SAL10123,Babyl Creek
SAL10124,Back Creek (Bland - NSW)
SAL10125,Back Creek (Gwydir - NSW)
SAL10126,Back Creek (Mid-Coast - NSW)
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW)
SAL10128,Back Creek (Tenterfield - NSW)
SAL10129,Back Creek (Tweed - NSW)
SAL10130,Back Forest
SAL10131,Backmede
SAL10132,Backwater
SAL10133,Badgerys Creek
SAL10134,Badja
SAL10135,Baerami
SAL10136,Baerami Creek
SAL10137,Bagnoo
SAL10138,Bago
SAL10139,Bagotville
SAL10140,Bakers Creek (Mid-Coast - NSW)
SAL10141,Bakers Creek (Nambucca Valley - NSW)
SAL10142,Bakers Creek (Uralla - NSW)
SAL10143,Bakers Swamp
SAL10144,Balaclava (NSW)
SAL10145,Balala
SAL10146,Balcolyn
SAL10147,Bald Blair
SAL10148,Bald Hills (NSW)
SAL10149,Bald Nob
SAL10150,Bald Ridge
SAL10151,Baldersleigh
SAL10152,Baldry
SAL10153,Balfours Peak
SAL10154,Balgowlah
SAL10155,Balgowlah Heights
SAL10156,Balgownie
SAL10157,Balickera
SAL10158,Balladoran
SAL10159,Ballalaba
SAL10160,Balldale
SAL10161,Ballengarra
SAL10162,Ballimore
SAL10163,Ballina
SAL10164,Ballyroe
SAL10165,Balmain
SAL10166,Balmain East
SAL10167,Balmoral (Lake Macquarie - NSW)
SAL10168,Balmoral (Wingecarribee - NSW)
SAL10169,Balranald
SAL10170,Bamarang
SAL10171,Banda Banda
SAL10172,Bandon Grove
SAL10173,Bangadang
SAL10174,Bangalee (NSW)
SAL10175,Bangalow
SAL10176,Bangheet
SAL10177,Bango
SAL10178,Bangor (NSW)
SAL10179,Banksia
SAL10180,Banksmeadow
SAL10181,Bankstown
SAL10182,Bankstown Aerodrome
SAL10183,Bannaby
SAL10184,Bannister (NSW)
SAL10185,Banoon
SAL10186,Banora Point
SAL10187,Banyabba
SAL10188,Bar Beach
SAL10189,Bar Point
SAL10190,Bara
SAL10191,Baradine
SAL10192,Barangaroo
SAL10193,Barcoongere
SAL10194,Barden Ridge
SAL10195,Bardia
SAL10196,Bardwell Park
SAL10197,Bardwell Valley
SAL10198,Barellan
SAL10199,Bargo
SAL10200,Barham
SAL10201,Barigan
SAL10202,Barkers Vale
SAL10203,Barmedman
SAL10204,Barneys Reef
SAL10205,Barnsley
SAL10206,Barooga
SAL10207,Barraba
SAL10208,Barrack Heights
SAL10209,Barrack Point
SAL10210,Barraganyatti
SAL10211,Barragga Bay
SAL10212,Barratta (NSW)
SAL10213,Barren Grounds
SAL10214,Barrengarry
SAL10215,Barretts Creek
SAL10216,Barringella
SAL10217,Barrington (NSW)
SAL10218,Barrington Tops
SAL10219,Barry (Blayney - NSW)
SAL10220,Barry (Tamworth Regional - NSW)
SAL10221,Barwang
SAL10222,Baryulgil
SAL10223,Basin View
SAL10224,Bass Hill
SAL10225,Bassendean (NSW)
SAL10226,Batar Creek
SAL10227,Bateau Bay
SAL10228,Batehaven
SAL10229,Batemans Bay
SAL10230,Bathampton
SAL10231,Bathurst
SAL10232,Batlow
SAL10233,Baulkham Hills
SAL10234,Baw Baw (NSW)
SAL10235,Bawley Point
SAL10236,Baxters Ridge
SAL10237,Bayview (NSW)
SAL10238,Beacon Hill
SAL10239,Beaconsfield (NSW)
SAL10240,Bean Creek
SAL10241,Bearbong
SAL10242,Beaumont (NSW)
SAL10243,Beaumont Hills
SAL10244,Beckom
SAL10245,Bective
SAL10246,Bectric
SAL10247,Bedgerabong
SAL10248,Beechwood
SAL10249,Beecroft
SAL10250,Beecroft Peninsula
SAL10251,Beelbangera
SAL10252,Beemunnel
SAL10253,Bega
SAL10254,Beggan Beggan
SAL10255,Belanglo
SAL10256,Belbora
SAL10257,Belfield
SAL10258,Belford
SAL10259,Belfrayden
SAL10260,Belgravia
SAL10261,Belimbla Park
SAL10262,Bell (NSW)
SAL10263,Bella Vista
SAL10264,Bellambi
SAL10265,Bellangry
SAL10266,Bellata
SAL10267,Bellawongarah
SAL10268,Bellbird
SAL10269,Bellbird Heights
SAL10270,Bellbrook
SAL10271,Bellevue Hill
SAL10272,Bellimbopinni
SAL10273,Bellingen
SAL10274,Bellmount Forest
SAL10275,Belltrees
SAL10276,Belmont (NSW)
SAL10277,Belmont North
SAL10278,Belmont South
SAL10279,Belmore
SAL10280,Belmore River
SAL10281,Beloka
SAL10282,Belowra
SAL10283,Belrose
SAL10284,Bemboka
SAL10285,Ben Bullen
SAL10286,Ben Lomond (NSW)
SAL10287,Benandarah
SAL10288,Bendalong
SAL10289,Bendemeer
SAL10290,Bendick Murrell
SAL10291,Bendolba
SAL10292,Bendoura
SAL10293,Benerembah
SAL10294,Bengalla
SAL10295,Bennetts Green
SAL10296,Benolong
SAL10297,Bensville
SAL10298,Bentley (NSW)
SAL10299,Berala
SAL10300,Berambing
SAL10301,Beresfield
SAL10302,Bergalia
SAL10303,Berkeley
SAL10304,Berkeley Vale
SAL10305,Berkshire Park
SAL10306,Berlang
SAL10307,Bermagui
SAL10308,Berowra
SAL10309,Berowra Heights
SAL10310,Berowra Waters
SAL10311,Berrambool
SAL10312,Berrara
SAL10313,Berremangra
SAL10314,Berrico
SAL10315,Berridale
SAL10316,Berrigal
SAL10317,Berrigan
SAL10318,Berrilee
SAL10319,Berrima
SAL10320,Berringer Lake
SAL10321,Berry
SAL10322,Berry Jerry
SAL10323,Berry Mountain
