sal_code_2021,sal_name_2021
SAL20001,Abbeyard
SAL20002,Abbotsford (Vic.)
SAL20003,Aberfeldie
SAL20004,Aberfeldy
SAL20005,Acheron
SAL20006,Ada
SAL20007,Adams Estate
SAL20008,Addington
SAL20009,Adelaide Lead
SAL20010,Agnes
SAL20011,Aintree
SAL20012,Aire Valley
SAL20013,Aireys Inlet
SAL20014,Airly
SAL20015,Airport West
SAL20016,Albacutya
SAL20017,Albanvale
SAL20018,Albert Park (Vic.)
SAL20019,Alberton (Vic.)
SAL20020,Alberton West
SAL20021,Albion (Vic.)
SAL20022,Alexandra (Vic.)
SAL20023,Alfredton
SAL20024,Allambee
SAL20025,Allambee Reserve
SAL20026,Allambee South
SAL20027,Allans Flat
SAL20028,Allansford
SAL20029,Allendale
SAL20030,Allestree
SAL20031,Alma (Vic.)
SAL20032,Almonds
SAL20033,Almurta
SAL20034,Alphington
SAL20035,Altona (Vic.)
SAL20036,Altona Meadows
SAL20037,Altona North
SAL20038,Alvie
SAL20039,Amherst
SAL20040,Amor
SAL20041,Amphitheatre
SAL20042,Anakie
SAL20043,Ancona
SAL20044,Anderson
SAL20045,Anglers Rest
SAL20046,Anglesea
SAL20047,Annuello
SAL20048,Antwerp
SAL20049,Apollo Bay (Vic.)
SAL20050,Appin (Vic.)
SAL20051,Appin South
SAL20052,Apsley (Vic.)
SAL20053,Ararat
SAL20054,Arawata
SAL20055,Arbuckle
SAL20056,Arcadia (Vic.)
SAL20057,Arcadia South
SAL20058,Archdale
SAL20059,Archdale Junction
SAL20060,Archerton
SAL20061,Archies Creek
SAL20062,Ardeer
SAL20063,Ardmona
SAL20064,Areegra
SAL20065,Argyle (Vic.)
SAL20066,Armadale (Vic.)
SAL20067,Armstrong
SAL20068,Armstrong Creek (Vic.)
SAL20069,Arnold (Vic.)
SAL20070,Arnold West
SAL20071,Arthurs Creek
SAL20072,Arthurs Seat
SAL20073,Ascot (Ballarat - Vic.)
SAL20074,Ascot (Greater Bendigo - Vic.)
SAL20075,Ascot Vale
SAL20076,Ashbourne (Vic.)
SAL20077,Ashburton
SAL20078,Ashwood
SAL20079,Aspendale
SAL20080,Aspendale Gardens
SAL20081,Athlone
SAL20082,Attwood
SAL20083,Aubrey
SAL20084,Auchmore
SAL20085,Avalon
SAL20086,Avenel
SAL20087,Avoca (Vic.)
SAL20088,Avon Plains
SAL20089,Avondale Heights
SAL20090,Avonmore
SAL20091,Avonsleigh
SAL20092,Axe Creek
SAL20093,Axedale
SAL20094,Ayrford
SAL20095,Bacchus Marsh
SAL20096,Baddaginnie
SAL20097,Badger Creek
SAL20098,Bael Bael
SAL20099,Bagshot
SAL20100,Bagshot North
SAL20101,Bahgallah
SAL20102,Bailieston
SAL20103,Bairnsdale
SAL20104,Bakery Hill
SAL20105,Balaclava (Vic.)
SAL20106,Bald Hills (Vic.)
SAL20107,Balintore
SAL20108,Ballan
SAL20109,Ballangeich
SAL20110,Ballapur
SAL20111,Ballarat Central
SAL20112,Ballarat East
SAL20113,Ballarat North
SAL20114,Ballendella
SAL20115,Balliang
SAL20116,Balliang East
SAL20117,Ballyrogan
SAL20118,Balmattum
SAL20119,Balmoral (Vic.)
SAL20120,Balnarring
SAL20121,Balnarring Beach
SAL20122,Balook
SAL20123,Balwyn
SAL20124,Balwyn North
SAL20125,Bamawm
SAL20126,Bamawm Extension
SAL20127,Bambra
SAL20128,Bamganie
SAL20129,Bandiana
SAL20130,Bangerang
SAL20131,Bangholme
SAL20132,Bannerton
SAL20133,Bannockburn (Vic.)
SAL20134,Banyan
SAL20135,Banyena
SAL20136,Baranduda
SAL20137,Barfold
SAL20138,Baringhup
SAL20139,Baringhup West
SAL20140,Barjarg
SAL20141,Barkers Creek
SAL20142,Barkly (Vic.)
SAL20143,Barkstead
SAL20144,Barmah
SAL20145,Barnadown
SAL20146,Barnawartha
SAL20147,Barnawartha North
SAL20148,Baromi
SAL20149,Barongarook
SAL20150,Barongarook West
SAL20151,Barrabool
SAL20152,Barrakee
SAL20153,Barramunga
SAL20154,Barraport
SAL20155,Barraport West
SAL20156,Barrys Reef
SAL20157,Barunah Park
SAL20158,Barunah Plains
SAL20159,Barwidgee
SAL20160,Barwite
SAL20161,Barwon Downs
SAL20162,Barwon Heads
SAL20163,Basalt (Vic.)
SAL20164,Bass
SAL20165,Batesford
SAL20166,Bathumi
SAL20167,Baw Baw (Vic.)
SAL20168,Baw Baw Village
SAL20169,Baxter
SAL20170,Bayindeen
SAL20171,Bayles
SAL20172,Baynton (Vic.)
SAL20173,Bayswater (Vic.)
SAL20174,Bayswater North
SAL20175,Beaconsfield (Vic.)
SAL20176,Beaconsfield Upper
SAL20177,Bealiba
SAL20178,Bearii
SAL20179,Bears Lagoon
SAL20180,Beauchamp
SAL20181,Beaufort (Vic.)
SAL20182,Beaumaris (Vic.)
SAL20183,Beazleys Bridge
SAL20184,Beeac
SAL20185,Beech Forest
SAL20186,Beechworth
SAL20187,Beenak
SAL20188,Belgrave
SAL20189,Belgrave Heights
SAL20190,Belgrave South
SAL20191,Bell Park
SAL20192,Bell Post Hill
SAL20193,Bellarine
SAL20194,Bellbird Creek
SAL20195,Bellbrae
SAL20196,Bellbridge
SAL20197,Bellellen
