poa_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
POA3000,43084,28,1306,768,1857,370,1733,1.7,1464,12553,17665,1352,3.4,29.14,41,3.14,29660,26009,68.84,60.37,502,1.17,2653,1286,1591,7582,34.99,16.96,7534,14211,21750,34.64,65.34,10393,3823,47.78,17.58,15272,5385,529,97,21750,70.22,2.88,2244,2416,16357,21750,10.32,11.11,75.2,21.43,1774,342,3238,1894,4191,8241,25902,20.67,7.31,16.18,31.82,0.2833
POA3002,4896,42,2345,1532,3733,480,2383,1.8,286,367,1144,1094,5.84,7.5,23.37,22.34,1348,689,27.53,14.07,187,3.82,537,176,62,1199,44.79,14.68,1195,1202,2396,49.87,50.17,1035,170,43.2,7.1,452,1263,539,115,2396,18.86,27.3,645,428,1264,2396,26.92,17.86,52.75,44.78,44,15,121,558,359,1501,3078,5.85,18.13,11.66,48.77,0.2047
POA3003,8025,31,1788,1058,2406,388,2106,1.9,586,1325,3248,351,7.3,16.51,40.47,4.37,4294,3610,53.51,44.98,127,1.58,1245,347,149,1848,67.37,18.78,1836,2015,3853,47.65,52.3,1504,512,39.03,13.29,1383,1943,401,74,3853,35.89,12.33,453,795,2511,3853,11.76,20.63,65.17,32.39,270,38,311,860,608,2021,5262,11.76,16.34,11.55,38.41,0.217
POA3004,11482,37,2090,1343,2727,451,2000,1.7,810,916,3363,1943,7.05,7.98,29.29,16.92,5366,3809,46.73,33.17,326,2.84,1556,594,176,2785,55.87,21.33,2773,2958,5728,48.41,51.64,2566,384,44.8,6.7,1178,3533,835,120,5728,20.57,16.67,1246,1195,3143,5728,21.75,20.86,54.87,42.62,55,15,583,1488,549,2996,6939,9.41,21.44,7.91,43.18,0.2158
POA3006,22699,31,1927,1171,2450,411,1900,1.8,1359,3319,9434,1291,5.99,14.62,41.56,5.69,13883,11068,61.16,48.76,310,1.37,2634,1054,517,5311,49.6,19.85,5284,6643,11920,44.33,55.73,5113,1520,42.89,12.75,4766,5947,941,111,11920,39.98,8.83,1500,2114,7984,11920,12.58,17.73,66.98,30.32,458,65,1310,2360,2014,6327,15613,11.74,15.12,12.9,40.52,0.2133
POA3008,15495,32,1957,1182,2461,411,2000,1.8,1208,1812,6036,944,7.8,11.69,38.95,6.09,9536,8256,61.54,53.28,213,1.37,2601,613,280,3899,66.71,15.72,3880,3665,7540,51.46,48.61,2973,689,39.43,9.14,3044,3514,765,132,7540,40.37,11.9,930,1359,5059,7540,12.33,18.02,67.1,30.36,209,27,1012,1543,707,4309,9443,13.22,16.34,7.49,45.63,0.21
POA3011,22278,34,1896,981,2474,369,2000,2.1,2731,2305,6195,2333,12.26,10.35,27.81,10.47,8512,7779,38.21,34.92,1325,5.95,5151,1790,460,5297,97.24,33.79,5246,4206,9450,55.51,44.51,3300,906,34.92,9.59,1787,5110,1949,470,9450,18.91,25.6,1525,2739,4945,9450,16.14,28.98,52.33,45.12,797,216,39,3670,375,5013,12913,8.15,28.42,2.9,38.82,0.1946
POA3012,27023,35,1987,976,2513,370,2100,2.4,4580,2630,6061,2877,16.95,9.73,22.43,10.65,9930,9931,36.75,36.75,1530,5.66,8660,2679,413,6868,126.09,39.01,6744,3807,10550,63.92,36.09,3051,758,28.92,7.18,1115,4899,3378,1002,10550,10.57,41.52,2220,3751,4289,10550,21.04,35.55,40.65,56.6,378,169,18,5657,228,5142,14603,3.87,38.74,1.56,35.21,0.1862
POA3013,15636,37,2485,1246,3216,462,2500,2.5,2996,1409,2654,1681,19.16,9.01,16.97,10.75,3851,3129,24.63,20.01,709,4.53,5869,1272,178,4245,138.26,29.96,4199,1859,6060,69.29,30.68,1543,317,25.46,5.23,569,2732,2134,572,6060,9.39,44.65,1608,2323,2011,6060,26.53,38.33,33.18,64.87,383,31,0,2850,190,3920,8999,4.6,31.67,2.11,43.56,0.1859
POA3015,18634,38,2556,1241,3214,460,2500,2.6,4020,1670,2472,2089,21.57,8.96,13.27,11.21,4377,3449,23.49,18.51,816,4.38,7912,1656,187,5133,154.14,32.26,5081,1818,6897,73.67,26.36,1591,227,23.07,3.29,376,2847,2810,804,6897,5.45,52.4,1887,2798,2087,6897,27.36,40.57,30.26,67.93,302,25,5,3632,116,4307,10185,3.26,35.66,1.14,42.29,0.18
