sa2_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
201011001,16835,34,1952,865,2218,370,1698,2.8,4028,2376,2089,2178,23.93,14.11,12.41,12.94,2649,2200,15.74,13.07,850,5.05,6995,2104,79,4568,153.13,46.06,4481,1275,5763,77.75,22.12,1092,183,18.95,3.18,156,1774,2550,1232,5763,2.71,65.63,1684,2359,1628,5763,29.22,40.93,28.25,70.15,27,26,0,5443,66,1260,8528,0.62,63.83,0.77,14.77,0.1895
201011002,12131,45,1573,842,2276,313,1700,2.2,1780,1548,1326,2826,14.67,12.76,10.93,23.3,1612,952,13.29,7.85,747,6.16,3182,1134,85,3054,104.19,37.13,3032,2006,5036,60.21,39.83,1778,226,35.31,4.49,358,2161,1796,669,5036,7.11,48.95,1991,1238,1701,5036,39.54,24.58,33.78,64.12,25,37,0,2908,488,1180,5804,1.07,50.1,8.41,20.33,0.199
201011005,7261,42,1927,805,2270,330,1662,2.7,1505,944,571,1334,20.73,13,7.86,18.37,732,257,10.08,3.54,315,4.34,2736,639,35,2011,136.05,31.78,1989,534,2522,78.87,21.17,484,51,19.19,2.02,45,612,1101,738,2522,1.78,72.92,1102,1011,360,2522,43.7,40.09,14.27,83.78,5,25,0,2021,34,731,3495,0.86,57.83,0.97,20.92,0.1713
201011006,10661,33,1627,775,1855,360,1500,2.6,2268,1406,1975,1578,21.27,13.19,18.53,14.8,1171,817,10.98,7.66,842,7.9,3610,1608,109,2931,123.17,54.86,2887,981,3870,74.6,25.35,826,153,21.34,3.95,113,1174,1650,880,3870,2.92,65.37,1020,1733,991,3870,26.36,44.78,25.61,71.14,9,19,0,3549,53,573,5205,0.54,68.18,1.02,11.01,0.2213
201011007,4230,41,2065,802,2236,350,1733,3,891,558,340,608,21.06,13.19,8.04,14.37,330,102,7.8,2.41,204,4.82,1746,266,26,1209,144.42,22,1174,222,1395,84.16,15.91,198,22,14.19,1.58,11,180,519,673,1395,0.79,85.45,552,767,56,1395,39.57,54.98,4.01,94.55,0,3,0,1460,13,311,2224,0.13,65.65,0.58,13.98,0.1695
201011008,15333,38,1191,642,1517,260,1300,2.3,2834,1849,2230,3157,18.48,12.06,14.54,20.59,1347,796,8.78,5.19,1396,9.1,3895,2558,180,3963,98.28,64.55,3904,2298,6201,62.96,37.06,2085,216,33.62,3.48,497,2448,2107,1033,6201,8.01,50.64,1975,1829,2202,6201,31.85,29.5,35.51,61.34,10,32,0,4261,122,641,6361,0.66,66.99,1.92,10.08,0.2183
201011481,9691,41,1209,671,1579,288,1300,2.1,1533,1043,1426,2190,15.82,10.76,14.71,22.6,1004,520,10.36,5.37,1026,10.59,2278,1317,89,2418,94.21,54.47,2390,1717,4108,58.18,41.8,1513,206,36.83,5.01,291,1828,1295,636,4108,7.08,47.01,1286,1118,1499,4108,31.3,27.22,36.49,58.52,9,45,0,2551,113,719,4288,1.26,59.49,2.64,16.77,0.2382
201011482,14750,41,1644,837,2217,300,1560,2.4,2758,1574,1828,2836,18.7,10.67,12.39,19.23,1363,700,9.24,4.75,890,6.03,5057,1338,104,3976,127.19,33.65,3942,1919,5863,67.24,32.73,1723,190,29.39,3.24,348,2005,2379,1081,5863,5.94,59.01,2116,2102,1506,5863,36.09,35.85,25.69,71.94,30,24,0,4482,120,1359,7370,0.73,60.81,1.63,18.44,0.1825
201011483,12225,37,1396,733,1800,295,1387,2.3,2145,1608,1947,2251,17.55,13.15,15.93,18.41,1545,1007,12.64,8.24,889,7.27,3359,1613,108,3076,109.2,52.44,3044,1817,4863,62.6,37.36,1556,265,32,5.45,306,1996,1711,790,4863,6.29,51.43,1444,1588,1738,4863,29.69,32.65,35.74,62.35,19,44,0,3420,143,1028,5823,1.08,58.73,2.46,17.65,0.2113
201011484,13086,39,1020,614,1362,260,1179,2.1,2171,1599,2022,2791,16.59,12.22,15.45,21.33,1313,678,10.03,5.18,1352,10.33,2736,2441,142,3287,83.24,74.26,3235,2542,5776,56.01,44.01,2300,241,39.82,4.17,546,2572,1771,784,5776,9.45,44.23,1621,1512,2435,5776,28.06,26.18,42.16,54.24,15,37,0,3526,86,538,5327,0.98,66.19,1.61,10.1,0.2549
201021009,6559,43,1731,770,2053,330,1700,2.5,1239,626,648,1224,18.89,9.54,9.88,18.66,829,263,12.64,4.01,381,5.81,2181,627,39,1807,120.7,34.7,1762,626,2388,73.79,26.21,577,47,24.16,1.97,54,640,887,773,2388,2.26,69.51,872,1121,303,2388,36.52,46.94,12.69,83.46,27,0,0,1838,70,645,3182,0.85,57.76,2.2,20.27,0.1906
201021010,8085,49,1238,628,1625,250,1300,2.3,1322,661,657,2131,16.35,8.18,8.13,26.36,813,241,10.06,2.98,558,6.9,2220,772,54,2210,100.45,34.93,2170,1056,3229,67.2,32.7,993,68,30.75,2.11,103,981,1170,929,3229,3.19,65,1507,1147,442,3229,46.67,35.52,13.69,82.19,5,9,0,2074,117,626,3430,0.41,60.47,3.41,18.25,0.2019
201021011,9955,53,1343,703,1784,330,1600,2.1,1277,661,762,2846,12.83,6.64,7.65,28.59,1634,617,16.41,6.2,558,5.61,2182,778,59,2704,80.7,28.77,2660,1495,4157,63.99,35.96,1369,128,32.93,3.08,132,1426,1619,930,4157,3.18,61.32,2037,1343,611,4157,49,32.31,14.7,81.31,8,0,0,2043,192,1326,4470,0.18,45.7,4.3,29.66,0.2457
201021012,6372,44,1813,765,2111,270,1695,2.7,1206,694,545,1126,18.93,10.89,8.55,17.67,656,217,10.3,3.41,317,4.97,2181,521,35,1747,124.84,29.82,1706,504,2212,77.12,22.78,460,43,20.8,1.94,25,391,879,879,2212,1.13,79.48,900,1042,168,2212,40.69,47.11,7.59,87.79,12,14,0,1843,73,625,3179,0.82,57.97,2.3,19.66,0.1489
