sal_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
SAL20001,4,63,900,2250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0
SAL20002,9088,33,2197,1354,3024,425,2167,1.9,737,855,3279,854,8.11,9.41,36.08,9.4,3090,2130,34,23.44,322,3.54,1448,427,129,2127,68.08,20.08,2108,2292,4398,47.93,52.11,1790,500,40.7,11.37,928,2474,792,162,4398,21.1,21.69,684,1183,2436,4398,15.55,26.9,55.39,42.45,135,52,262,1331,363,2849,6223,7.22,21.39,5.83,45.78,0.1934
SAL20003,3925,41,2571,1053,3172,440,2600,2.8,635,642,361,563,16.18,16.36,9.2,14.34,725,813,18.47,20.71,160,4.08,1327,366,26,1074,123.56,34.08,1071,298,1371,78.12,21.74,270,29,19.69,2.12,48,421,575,323,1371,3.5,65.5,539,519,279,1371,39.31,37.86,20.35,77.17,19,3,4,939,39,756,2198,1.18,42.72,1.77,34.39,0.1711
SAL20004,7,46,1375,949,2124,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,5,0,0,0,0,0
SAL20005,146,56,1478,783,2107,271,1606,2.3,21,8,11,56,14.38,5.48,7.53,38.36,15,4,10.27,2.74,5,3.42,30,8,0,41,73.17,19.51,43,13,62,69.35,20.97,15,0,24.19,0,0,8,27,20,62,0,75.81,40,12,4,62,64.52,19.35,6.45,83.87,0,0,0,38,4,21,80,0,47.5,5,26.25,0.1834
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,0,0,0,,,0,0,0,,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,
SAL20007,83,41,1666,599,1666,300,1365,2.8,26,3,5,6,31.33,3.61,6.02,7.23,0,6,0,7.23,3,3.61,29,7,0,27,107.41,25.93,25,3,27,92.59,11.11,5,0,18.52,0,0,0,13,12,27,0,92.59,11,19,0,27,40.74,70.37,0,111.11,0,0,0,22,0,0,27,0,81.48,0,0,0.1801
SAL20008,65,56,1042,483,1187,150,1868,2.2,13,6,10,22,20,9.23,15.38,33.85,4,4,6.15,6.15,10,15.38,15,3,0,21,71.43,14.29,19,7,26,73.08,26.92,7,0,26.92,0,0,6,11,10,26,0,80.77,18,8,0,26,69.23,30.77,0,100,0,0,0,15,0,4,22,0,68.18,0,18.18,0.144
SAL20009,85,50,1125,493,1125,0,1200,2.4,20,10,0,20,23.53,11.76,0,23.53,7,0,8.24,0,7,8.24,31,13,5,27,114.81,48.15,29,6,33,87.88,18.18,6,0,18.18,0,0,9,15,15,33,0,90.91,15,16,0,33,45.45,48.48,0,93.94,0,0,0,22,0,5,35,0,62.86,0,14.29,0
SAL20010,61,61,725,435,762,195,2318,1.9,0,0,3,29,0,0,4.92,47.54,6,0,9.84,0,10,16.39,10,0,3,13,76.92,0,11,14,25,44,56,7,4,28,16,0,5,9,9,25,0,72,10,3,0,25,40,12,0,52,0,0,0,11,0,0,19,0,57.89,0,0,0.269
