year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,ABBOTSFORD,3067,Abbotsford,YARRA,Yarra,1609,205,1130,273,1,0.9548,0.9444,0.9649,0.9377,5.7,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",5.1
2025,ABERFELDIE,3040,Aberfeldie,MOONEE VALLEY,Moonee Valley,169,26,102,41,0,0.7864,0.778,0.797,0.7849,24.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",21.5
2025,ACHERON,3714,Acheron,MURRINDINDI,Murrindindi,5,2,2,1,0,0.3319,0.4643,0.2661,0.3474,69.7,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",61.9
2025,ADAMS ESTATE,3984,Adams Estate,BASS COAST,Bass Coast,2,0,2,0,0,0.1467,0.1455,0.2661,0.1417,92.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.9
2025,ADDINGTON,3352,Addington,BALLARAT,Ballarat,1,0,1,0,0,0.0546,0.1455,0.1419,0.1417,96.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",85.6
2025,ADELAIDE LEAD,3465,Adelaide Lead,CENTRAL GOLDFIELDS,Central Goldfields,26,12,6,8,0,0.6217,0.7184,0.5084,0.6288,40.9,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",36.3
2025,AGNES,3962,Agnes,SOUTH GIPPSLAND,South Gippsland,7,4,1,2,0,0.4009,0.5759,0.1419,0.4423,65.4,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",58.1
2025,AINTREE,3336,Aintree,MELTON,Melton,421,79,264,78,0,0.8562,0.8742,0.8645,0.8418,15.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",13.5
2025,AIREYS INLET,3231,Aireys Inlet,SURF COAST,Surf Coast,14,4,6,4,0,0.5297,0.5759,0.5084,0.5339,51.0,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",45.3
2025,AIRLY,3851,Airly,WELLINGTON,Wellington,11,5,3,3,0,0.4898,0.6093,0.3533,0.4935,55.3,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",49.1
2025,AIRPORT WEST,3042,Airport West,MOONEE VALLEY,Moonee Valley,1105,101,761,240,3,0.93,0.8957,0.9427,0.9279,9.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",8.4
2025,ALBANVALE,3021,Albanvale,BRIMBANK,Brimbank,244,48,122,74,0,0.8165,0.8317,0.8089,0.8365,19.6,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",17.4
