postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3000,MELBOURNE,VIC,Delivery Area,Updated 17-Mar-2024 AUSPOST,-37.8152065,144.963937,20604150622,North Melbourne,206041506,North Melbourne,Melbourne,24600
3002,EAST MELBOURNE,VIC,Delivery Area,Updated 17-Mar-2024 AUSPOST,-37.8161444,144.9804594,20604111915,East Melbourne,206041119,East Melbourne,Melbourne,24600
3003,WEST MELBOURNE,VIC,Delivery Area,Updated 6-Feb-2020,-37.8114504,144.9253974,20604151016,West Melbourne,206041510,West Melbourne - Residential,Melbourne,24600
3004,MELBOURNE,VIC,Delivery Area,Updated 17-Mar-2024 AUSPOST,-37.8301583,144.9804594,20605151429,Melbourne,206051514,St Kilda - West,Melbourne,24600
3004,ST KILDA ROAD CENTRAL,VIC,Delivery Area,Updated 6-Feb-2020,-37.8368,144.976,20605151429,Melbourne,206051514,St Kilda - West,Melbourne,24600
3004,ST KILDA ROAD MELBOURNE,VIC,Delivery Area,Updated 25-Jan-2020,-37.8368,144.976,20605151429,Melbourne,206051514,St Kilda - West,Melbourne,24600
3005,WORLD TRADE CENTRE,VIC,Delivery Area,Updated 6-Feb-2020,-37.8226739,144.953839,,,,,Melbourne,24600
3006,SOUTH WHARF,VIC,Delivery Area,Updated 6-Feb-2020,-37.825,144.952,20605151219,Southbank,206051512,South Melbourne,Port Phillip,25900
3006,SOUTHBANK,VIC,Delivery Area,Updated 6-Feb-2020,-37.829,144.957,20605151219,Southbank,206051512,South Melbourne,Port Phillip,25900
3008,DOCKLANDS,VIC,Delivery Area,Updated 6-Feb-2020,-37.8170652,144.9419122,20605151104,Port Melbourne,206051511,Port Melbourne Industrial,Melbourne,24600
3010,UNIVERSITY OF MELBOURNE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7983459,144.960974,,,,,Melbourne,24600
3011,FOOTSCRAY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7988987,144.892357,21303135123,West Footscray,213031351,West Footscray - Tottenham,Maribyrnong,24330
3011,SEDDON,VIC,Delivery Area,Updated 6-Feb-2020,-37.8055831,144.891002,21303135123,West Footscray,213031351,West Footscray - Tottenham,Maribyrnong,24330
3011,SEDDON WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.8053708,144.8918846,21303135123,West Footscray,213031351,West Footscray - Tottenham,Maribyrnong,24330
3012,BROOKLYN,VIC,Delivery Area,Updated 6-Feb-2020,-37.8173492,144.8465361,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3012,KINGSVILLE,VIC,Delivery Area,Updated 6-Feb-2020,-37.809,144.878,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3012,KINGSVILLE WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.809,144.878,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3012,MAIDSTONE,VIC,Delivery Area,Updated 6-Feb-2020,-37.783,144.878,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3012,TOTTENHAM,VIC,Delivery Area,Updated 6-Feb-2020,-37.806,144.857,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3012,WEST FOOTSCRAY,VIC,Delivery Area,Updated 6-Feb-2020,-37.8006709,144.8716645,21303135128,West Footscray,213031351,West Footscray - Tottenham,Brimbank,21180
3013,YARRAVILLE,VIC,Delivery Area,Updated 6-Feb-2020,-37.819811,144.8813738,21303135234,Yarraville,213031352,Yarraville,Maribyrnong,24330
3013,YARRAVILLE WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.8148018,144.8852384,21303135234,Yarraville,213031352,Yarraville,Maribyrnong,24330
3015,NEWPORT,VIC,Delivery Area,Updated 6-Feb-2020,-37.842,144.884,21302134442,Spotswood,213021344,Newport,Hobsons Bay,23110
3015,SOUTH KINGSVILLE,VIC,Delivery Area,Updated 6-Feb-2020,-37.8300643,144.8703715,21302134442,Spotswood,213021344,Newport,Hobsons Bay,23110
3015,SPOTSWOOD,VIC,Delivery Area,Updated 6-Feb-2020,-37.8292454,144.8813515,21302134442,Spotswood,213021344,Newport,Hobsons Bay,23110
