"locality_point_id","suburb_name","suburb_label","postcode","latitude","longitude","accessibility_score","safety_score","environment_score","liveability_score","persona","time_minutes","scoring_version","crime_latest_year","status","error_message","calculated_at","breakdown_json"
"15","ABBOTSFORD","Abbotsford","","-37.80278684","145.002102930995","79","72","68","74","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:24:33.017Z","{""accessibility"":{""accessibilityScore"":79,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":95.69,""count"":18,""nearestDistanceKm"":0.23},""train_station"":{""score"":61.5,""count"":3,""nearestDistanceKm"":0.77},""supermarket"":{""score"":79.69,""count"":15,""nearestDistanceKm"":0.65},""hospital"":{""score"":56.25,""count"":15,""nearestDistanceKm"":1},""school"":{""score"":94,""count"":20,""nearestDistanceKm"":0.16},""park"":{""score"":89.69,""count"":6,""nearestDistanceKm"":0.33}}},""safety"":{""safetyScore"":72,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":73.92,""zoning"":70.22,""rawSafety"":72.33},""crimeDetails"":{""averageInRadius"":25.49,""suburbCount"":9,""suburbNames"":[""ABBOTSFORD"",""CLIFTON HILL"",""COLLINGWOOD"",""EAST MELBOURNE"",""FAIRFIELD"",""KEW"",""RICHMOND""]},""zoningDetails"":{""zoneCount"":172,""zoneMix"":[{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 1"",""count"":32},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":24},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":21}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":68,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":49.67,""heat"":34.48,""zoning"":70.38,""airQuality"":95},""rawData"":{""avgGreen"":19.8688508010072,""minGreen"":0,""maxGreen"":93.14593584,""vegetationCount"":834,""avgHeat"":8.10846313489436,""minHeat"":4.04028788,""maxHeat"":12.05055696,""heatCount"":284,""zoningCount"":172,""zoneMix"":[{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 1"",""count"":32},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":24},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":21}],""airQualitySite"":{""id"":""4afe6adc-cbac-4bf1-afbe-ff98d59564f9"",""name"":""Melbourne CBD"",""lat"":-37.8073959,""lng"":144.97,""distanceKm"":2.87},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"199","ABERFELDIE","Aberfeldie","","-37.763177383","144.899901119993","50","70","73","63","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:24:53.352Z","{""accessibility"":{""accessibilityScore"":50,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":93.63,""count"":17,""nearestDistanceKm"":0.34},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":54.58,""count"":2,""nearestDistanceKm"":0.92},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":77.5,""count"":20,""nearestDistanceKm"":0.6},""park"":{""score"":91.56,""count"":6,""nearestDistanceKm"":0.27}}},""safety"":{""safetyScore"":70,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":69.65,""zoning"":70.1,""rawSafety"":69.84},""crimeDetails"":{""averageInRadius"":13.28,""suburbCount"":6,""suburbNames"":[""ABERFELDIE"",""ASCOT VALE"",""ESSENDON"",""ESSENDON WEST"",""MARIBYRNONG"",""MOONEE PONDS""]},""zoningDetails"":{""zoneCount"":50,""zoneMix"":[{""label"":""COMMERCIAL 1 ZONE"",""count"":11},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":10},{""label"":""GENERAL RESIDENTIAL ZONE"",""count"":6}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":73,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":74.37,""heat"":29.42,""zoning"":69.7,""airQuality"":96},""rawData"":{""avgGreen"":29.749250347217,""minGreen"":0,""maxGreen"":97.48317206,""vegetationCount"":636,""avgHeat"":9.39679821953703,""minHeat"":5.99972098,""maxHeat"":11.90036986,""heatCount"":216,""zoningCount"":50,""zoneMix"":[{""label"":""COMMERCIAL 1 ZONE"",""count"":11},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":10},{""label"":""GENERAL RESIDENTIAL ZONE"",""count"":6}],""airQualitySite"":{""id"":""031354b3-b6a2-403b-aae3-79e18f69c957"",""name"":""Footscray"",""lat"":-37.80077,""lng"":144.8672,""distanceKm"":5.07},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"492","AINTREE","Aintree","","-37.7182800790001","144.658011803988","53","67","66","61","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:25:13.979Z","{""accessibility"":{""accessibilityScore"":53,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":97,""count"":20,""nearestDistanceKm"":0.16},""train_station"":{""score"":31.5,""count"":1,""nearestDistanceKm"":1.37},""supermarket"":{""score"":29.48,""count"":1,""nearestDistanceKm"":1.19},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":77.88,""count"":14,""nearestDistanceKm"":0.59},""park"":{""score"":96.56,""count"":5,""nearestDistanceKm"":0.11}}},""safety"":{""safetyScore"":67,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":72.35,""zoning"":60,""rawSafety"":67.04},""crimeDetails"":{""averageInRadius"":21,""suburbCount"":3,""suburbNames"":[""AINTREE"",""GRANGEFIELDS"",""ROCKBANK""]},""zoningDetails"":{""zoneCount"":4,""zoneMix"":[{""label"":""TRANSPORT ZONE 2 - PRINCIPAL ROAD NETWORK"",""count"":1},{""label"":""URBAN GROWTH ZONE"",""count"":1},{""label"":""URBAN GROWTH ZONE - SCHEDULE 7"",""count"":1}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":66,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":58.15,""heat"":20.12,""zoning"":60,""airQuality"":95},""rawData"":{""avgGreen"":23.2619802112903,""minGreen"":1.06210121,""maxGreen"":71.77655766,""vegetationCount"":62,""avgHeat"":11.769129625,""minHeat"":10.51066668,""maxHeat"":12.580337,""heatCount"":4,""zoningCount"":4,""zoneMix"":[{""label"":""TRANSPORT ZONE 2 - PRINCIPAL ROAD NETWORK"",""count"":1},{""label"":""URBAN GROWTH ZONE"",""count"":1},{""label"":""URBAN GROWTH ZONE - SCHEDULE 7"",""count"":1}],""airQualitySite"":{""id"":""ea40fbea-46ce-4acf-8f3e-eb76c26c712b"",""name"":""Melton"",""lat"":-37.7064552,""lng"":144.5669,""distanceKm"":8.12},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"16","AIRPORT WEST","Airport West","","-37.7286468320001","144.884961958993","52","68","70","62","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:25:41.106Z","{""accessibility"":{""accessibilityScore"":52,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":95.31,""count"":17,""nearestDistanceKm"":0.25},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":84.38,""count"":6,""nearestDistanceKm"":0.5},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":82.75,""count"":19,""nearestDistanceKm"":0.46},""park"":{""score"":38.13,""count"":2,""nearestDistanceKm"":1.02}}},""safety"":{""safetyScore"":68,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":70.38,""zoning"":65.94,""rawSafety"":68.47},""crimeDetails"":{""averageInRadius"":15.37,""suburbCount"":6,""suburbNames"":[""AIRPORT WEST"",""ESSENDON"",""ESSENDON FIELDS"",""ESSENDON NORTH"",""KEILOR EAST"",""NIDDRIE""]},""zoningDetails"":{""zoneCount"":39,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":15},{""label"":""COMMERCIAL 1 ZONE"",""count"":5},{""label"":""HOUSING CHOICE AND TRANSPORT ZONE - SCHEDULE 2"",""count"":4}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":70,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":61.97,""heat"":27.72,""zoning"":71.15,""airQuality"":96},""rawData"":{""avgGreen"":24.7862690683691,""minGreen"":0,""maxGreen"":97.70140444,""vegetationCount"":466,""avgHeat"":9.83267194531073,""minHeat"":7.65525064,""maxHeat"":11.61073921,""heatCount"":177,""zoningCount"":39,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":15},{""label"":""COMMERCIAL 1 ZONE"",""count"":5},{""label"":""HOUSING CHOICE AND TRANSPORT ZONE - SCHEDULE 2"",""count"":4}],""airQualitySite"":{""id"":""031354b3-b6a2-403b-aae3-79e18f69c957"",""name"":""Footscray"",""lat"":-37.80077,""lng"":144.8672,""distanceKm"":8.17},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"142","ALBANVALE","Albanvale","","-37.7462628240001","144.765296977991","59","70","71","66","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:26:06.070Z","{""accessibility"":{""accessibilityScore"":59,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":95.69,""count"":20,""nearestDistanceKm"":0.23},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":71.25,""count"":5,""nearestDistanceKm"":0.92},""hospital"":{""score"":53.5,""count"":1,""nearestDistanceKm"":0.72},""school"":{""score"":95.13,""count"":19,""nearestDistanceKm"":0.13},""park"":{""score"":35,""count"":1,""nearestDistanceKm"":0.8}}},""safety"":{""safetyScore"":70,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":72.94,""zoning"":66.41,""rawSafety"":70.13},""crimeDetails"":{""averageInRadius"":22.69,""suburbCount"":8,""suburbNames"":[""ALBANVALE"",""BURNSIDE"",""BURNSIDE HEIGHTS"",""CAIRNLEA"",""DEER PARK"",""KINGS PARK"",""ST ALBANS""]},""zoningDetails"":{""zoneCount"":37,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":15},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6},{""label"":""URBAN FLOODWAY ZONE"",""count"":4}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":71,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":67.69,""heat"":23.43,""zoning"":76.35,""airQuality"":96},""rawData"":{""avgGreen"":27.0756337503788,""minGreen"":3.43601809,""maxGreen"":97.36044764,""vegetationCount"":396,""avgHeat"":10.924891771375,""minHeat"":8.42635451,""maxHeat"":13.46144241,""heatCount"":160,""zoningCount"":37,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":15},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6},{""label"":""URBAN FLOODWAY ZONE"",""count"":4}],""airQualitySite"":{""id"":""031354b3-b6a2-403b-aae3-79e18f69c957"",""name"":""Footscray"",""lat"":-37.80077,""lng"":144.8672,""distanceKm"":10.81},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"216","ALBERT PARK","Albert Park","","-37.8424428370001","144.949895935994","65","69","69","67","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:26:34.140Z","{""accessibility"":{""accessibilityScore"":65,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":98.5,""count"":19,""nearestDistanceKm"":0.08},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":88.44,""count"":16,""nearestDistanceKm"":0.37},""hospital"":{""score"":46.63,""count"":2,""nearestDistanceKm"":1.22},""school"":{""score"":91.75,""count"":20,""nearestDistanceKm"":0.22},""park"":{""score"":71.56,""count"":4,""nearestDistanceKm"":0.59}}},""safety"":{""safetyScore"":69,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":68.56,""zoning"":70.17,""rawSafety"":69.25},""crimeDetails"":{""averageInRadius"":10.18,""suburbCount"":4,""suburbNames"":[""ALBERT PARK"",""MIDDLE PARK"",""PORT MELBOURNE"",""SOUTH MELBOURNE""]},""zoningDetails"":{""zoneCount"":103,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":27},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":14},{""label"":""COMMERCIAL 1 ZONE"",""count"":12}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":69,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":47.48,""heat"":38.58,""zoning"":73.5,""airQuality"":95},""rawData"":{""avgGreen"":18.9923290306048,""minGreen"":0,""maxGreen"":91.4781412,""vegetationCount"":926,""avgHeat"":7.06297104193732,""minHeat"":3.1023075,""maxHeat"":9.48485165,""heatCount"":351,""zoningCount"":103,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":27},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":14},{""label"":""COMMERCIAL 1 ZONE"",""count"":12}],""airQualitySite"":{""id"":""4afe6adc-cbac-4bf1-afbe-ff98d59564f9"",""name"":""Melbourne CBD"",""lat"":-37.8073959,""lng"":144.97,""distanceKm"":4.28},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"95","ALBION","Albion","","-37.7810063350001","144.814644357992","68","68","72","69","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:26:57.053Z","{""accessibility"":{""accessibilityScore"":68,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":93.44,""count"":19,""nearestDistanceKm"":0.35},""train_station"":{""score"":52,""count"":2,""nearestDistanceKm"":0.96},""supermarket"":{""score"":66.56,""count"":4,""nearestDistanceKm"":1.07},""hospital"":{""score"":34.38,""count"":2,""nearestDistanceKm"":1.5},""school"":{""score"":82,""count"":20,""nearestDistanceKm"":0.48},""park"":{""score"":78.44,""count"":3,""nearestDistanceKm"":0.05}}},""safety"":{""safetyScore"":68,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":68.39,""zoning"":67.16,""rawSafety"":67.86},""crimeDetails"":{""averageInRadius"":9.7,""suburbCount"":5,""suburbNames"":[""ALBION"",""ARDEER"",""SUNSHINE"",""SUNSHINE NORTH"",""SUNSHINE WEST""]},""zoningDetails"":{""zoneCount"":62,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":7},{""label"":""COMMERCIAL 1 ZONE"",""count"":7}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":72,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":74.96,""heat"":25.29,""zoning"":66.53,""airQuality"":96},""rawData"":{""avgGreen"":29.9831930737653,""minGreen"":0,""maxGreen"":85.23522912,""vegetationCount"":409,""avgHeat"":10.4520426543791,""minHeat"":8.10356344,""maxHeat"":12.62472166,""heatCount"":153,""zoningCount"":62,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":7},{""label"":""COMMERCIAL 1 ZONE"",""count"":7}],""airQualitySite"":{""id"":""031354b3-b6a2-403b-aae3-79e18f69c957"",""name"":""Footscray"",""lat"":-37.80077,""lng"":144.8672,""distanceKm"":5.11},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"207","ALPHINGTON","Alphington","","-37.780103709","145.031768152995","66","70","80","71","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:27:22.077Z","{""accessibility"":{""accessibilityScore"":66,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":98.69,""count"":17,""nearestDistanceKm"":0.07},""train_station"":{""score"":58,""count"":1,""nearestDistanceKm"":0.84},""supermarket"":{""score"":62.5,""count"":5,""nearestDistanceKm"":1.2},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":92.88,""count"":20,""nearestDistanceKm"":0.19},""park"":{""score"":82.19,""count"":5,""nearestDistanceKm"":0.57}}},""safety"":{""safetyScore"":70,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":70.02,""zoning"":69.72,""rawSafety"":69.89},""crimeDetails"":{""averageInRadius"":14.34,""suburbCount"":5,""suburbNames"":[""ALPHINGTON"",""FAIRFIELD"",""IVANHOE"",""KEW"",""KEW EAST""]},""zoningDetails"":{""zoneCount"":111,""zoneMix"":[{""label"":""COMMERCIAL 1 ZONE"",""count"":14},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":12},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":80,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":91.62,""heat"":38.38,""zoning"":68.87,""airQuality"":97},""rawData"":{""avgGreen"":36.6467548254507,""minGreen"":0,""maxGreen"":98.1193027,""vegetationCount"":477,""avgHeat"":7.11226917098837,""minHeat"":2.1818028,""maxHeat"":9.60931035,""heatCount"":172,""zoningCount"":111,""zoneMix"":[{""label"":""COMMERCIAL 1 ZONE"",""count"":14},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":12},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12}],""airQualitySite"":{""id"":""c69ed768-34d2-4d72-86f3-088c250758a8"",""name"":""Alphington"",""lat"":-37.7784081,""lng"":145.0306,""distanceKm"":0.21},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"77","ALTONA","Altona","","-37.8682258290001","144.829820953992","79","72","75","76","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:27:51.830Z","{""accessibility"":{""accessibilityScore"":79,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":99.63,""count"":19,""nearestDistanceKm"":0.02},""train_station"":{""score"":94.5,""count"":3,""nearestDistanceKm"":0.11},""supermarket"":{""score"":81.15,""count"":2,""nearestDistanceKm"":0.07},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":97,""count"":16,""nearestDistanceKm"":0.08},""park"":{""score"":94.06,""count"":6,""nearestDistanceKm"":0.19}}},""safety"":{""safetyScore"":72,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":72,""zoning"":71,""rawSafety"":71.57},""crimeDetails"":{""averageInRadius"":20,""suburbCount"":2,""suburbNames"":[""ALTONA"",""SEAHOLME""]},""zoningDetails"":{""zoneCount"":51,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":11},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 4"",""count"":6},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 6"",""count"":6}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":75,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":72.26,""heat"":37.97,""zoning"":73.24,""airQuality"":95},""rawData"":{""avgGreen"":28.9056088917109,""minGreen"":0.00657183,""maxGreen"":87.00554832,""vegetationCount"":339,""avgHeat"":7.21709949032258,""minHeat"":-1.09398802,""maxHeat"":9.03043379,""heatCount"":124,""zoningCount"":51,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":11},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 4"",""count"":6},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 6"",""count"":6}],""airQualitySite"":{""id"":""4c4e8933-a66b-4e76-b2c2-ad9bb56d8809"",""name"":""Altona North"",""lat"":-37.8441238,""lng"":144.861618,""distanceKm"":3.87},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"217","ALTONA EAST","Altona East","","-37.8363628310001","144.861434951993","56","71","77","67","default","20","suburb-score-v1","2025","completed","","2026-05-10T07:28:09.863Z","{""accessibility"":{""accessibilityScore"":56,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":96.81,""count"":20,""nearestDistanceKm"":0.17},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":95,""count"":7,""nearestDistanceKm"":0.16},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":94.38,""count"":20,""nearestDistanceKm"":0.15},""park"":{""score"":38.13,""count"":2,""nearestDistanceKm"":1.02}}},""safety"":{""safetyScore"":71,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":70.38,""zoning"":71.74,""rawSafety"":70.96},""crimeDetails"":{""averageInRadius"":15.37,""suburbCount"":3,""suburbNames"":[""ALTONA NORTH"",""NEWPORT"",""SOUTH KINGSVILLE""]},""zoningDetails"":{""zoneCount"":54,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 5"",""count"":9},{""label"":""COMMERCIAL 1 ZONE"",""count"":8}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":77,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":83.31,""heat"":33.35,""zoning"":73.61,""airQuality"":95},""rawData"":{""avgGreen"":33.3240113170235,""minGreen"":1.01905751,""maxGreen"":100,""vegetationCount"":383,""avgHeat"":8.3956501371698,""minHeat"":3.42545187,""maxHeat"":10.4373496,""heatCount"":159,""zoningCount"":54,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 5"",""count"":9},{""label"":""COMMERCIAL 1 ZONE"",""count"":8}],""airQualitySite"":{""id"":""4c4e8933-a66b-4e76-b2c2-ad9bb56d8809"",""name"":""Altona North"",""lat"":-37.8441238,""lng"":144.861618,""distanceKm"":0.86},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
