locality_point_id,suburb_name,suburb_label,postcode,latitude,longitude,accessibility_score,safety_score,environment_score,liveability_score,persona,time_minutes,scoring_version,crime_latest_year,status,error_message,calculated_at,breakdown_json
"82","ARMADALE","Armadale",,"-37.857178842","145.021094921995","77","75","74","76","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:27:01.543Z","{""accessibility"":{""accessibilityScore"":77,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":98.88,""count"":19,""nearestDistanceKm"":0.06},""train_station"":{""score"":91,""count"":3,""nearestDistanceKm"":0.18},""supermarket"":{""score"":82.19,""count"":7,""nearestDistanceKm"":0.57},""hospital"":{""score"":54.5,""count"":9,""nearestDistanceKm"":1.04},""school"":{""score"":96.63,""count"":20,""nearestDistanceKm"":0.09},""park"":{""score"":0,""count"":0,""nearestDistanceKm"":null}}},""safety"":{""safetyScore"":75,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":74.94,""zoning"":74.37,""rawSafety"":74.69},""crimeDetails"":{""averageInRadius"":28.4,""suburbCount"":8,""suburbNames"":[""ARMADALE"",""CAULFIELD NORTH"",""MALVERN"",""PRAHRAN"",""ST KILDA EAST"",""TOORAK""]},""zoningDetails"":{""zoneCount"":169,""zoneMix"":[{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 10"",""count"":23},{""label"":""COMMERCIAL 1 ZONE"",""count"":23},{""label"":""PUBLIC USE ZONE - LOCAL GOVERNMENT"",""count"":18}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":74,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":68.97,""heat"":36.37,""zoning"":73.05,""airQuality"":95},""rawData"":{""avgGreen"":27.5893100849126,""minGreen"":0,""maxGreen"":100,""vegetationCount"":1030,""avgHeat"":7.62471016237598,""minHeat"":5.75755836,""maxHeat"":9.75541474,""heatCount"":383,""zoningCount"":169,""zoneMix"":[{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 10"",""count"":23},{""label"":""COMMERCIAL 1 ZONE"",""count"":23},{""label"":""PUBLIC USE ZONE - LOCAL GOVERNMENT"",""count"":18}],""airQualitySite"":{""id"":""d56ede8c-637a-41e9-a055-f53198e9456a"",""name"":""Brighton"",""lat"":-37.9135475,""lng"":144.998,""distanceKm"":6.59},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"191","BULLEEN","Bulleen",,"-37.770006846","145.090403918996","48","74","73","63","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:27:21.090Z","{""accessibility"":{""accessibilityScore"":48,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":98.69,""count"":16,""nearestDistanceKm"":0.07},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":51.04,""count"":1,""nearestDistanceKm"":0.5},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":92.5,""count"":18,""nearestDistanceKm"":0.2},""park"":{""score"":39.69,""count"":3,""nearestDistanceKm"":1.29}}},""safety"":{""safetyScore"":74,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":78.14,""zoning"":69.52,""rawSafety"":74.43},""crimeDetails"":{""averageInRadius"":37.56,""suburbCount"":9,""suburbNames"":[""BALWYN NORTH"",""BULLEEN"",""DONCASTER"",""EAGLEMONT"",""IVANHOE EAST"",""TEMPLESTOWE LOWER""]},""zoningDetails"":{""zoneCount"":61,""zoneMix"":[{""label"":""RESIDENTIAL GROWTH ZONE - SCHEDULE 2"",""count"":11},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":10},{""label"":""PUBLIC USE ZONE - SERVICE AND UTILITY"",""count"":8}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":73,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":68.32,""heat"":32.57,""zoning"":70.16,""airQuality"":97},""rawData"":{""avgGreen"":27.3295686197949,""minGreen"":0.05667558,""maxGreen"":90.21837129,""vegetationCount"":390,""avgHeat"":8.59559984987096,""minHeat"":2.67633083,""maxHeat"":10.8315393,""heatCount"":155,""zoningCount"":61,""zoneMix"":[{""label"":""RESIDENTIAL GROWTH ZONE - SCHEDULE 2"",""count"":11},{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":10},{""label"":""PUBLIC USE ZONE - SERVICE AND UTILITY"",""count"":8}],""airQualitySite"":{""id"":""c69ed768-34d2-4d72-86f3-088c250758a8"",""name"":""Alphington"",""lat"":-37.7784081,""lng"":145.0306,""distanceKm"":5.34},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"42","CLAYTON SOUTH","Clayton South",,"-37.947169849","145.123379893996","37","67","75","57","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:27:43.087Z","{""accessibility"":{""accessibilityScore"":37,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":87.81,""count"":19,""nearestDistanceKm"":0.65},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""hospital"":{""score"":22.88,""count"":1,""nearestDistanceKm"":1.42},""school"":{""score"":66.63,""count"":17,""nearestDistanceKm"":0.89},""park"":{""score"":55.94,""count"":3,""nearestDistanceKm"":0.77}}},""safety"":{""safetyScore"":67,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":69.41,""zoning"":62.82,""rawSafety"":66.58},""crimeDetails"":{""averageInRadius"":12.6,""suburbCount"":2,""suburbNames"":[""CLARINDA"",""CLAYTON SOUTH""]},""zoningDetails"":{""zoneCount"":37,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":11},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 7"",""count"":7},{""label"":""INDUSTRIAL 1 ZONE"",""count"":3}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":75,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":82.29,""heat"":28.04,""zoning"":71.62,""airQuality"":96},""rawData"":{""avgGreen"":32.9156552590909,""minGreen"":1.8722965,""maxGreen"":86.84896125,""vegetationCount"":187,""avgHeat"":9.74984392155844,""minHeat"":5.84061136,""maxHeat"":11.90931635,""heatCount"":77,""zoningCount"":37,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":11},{""label"":""NEIGHBOURHOOD RESIDENTIAL ZONE - SCHEDULE 7"",""count"":7},{""label"":""INDUSTRIAL 1 ZONE"",""count"":3}],""airQualitySite"":{""id"":""69088979-01eb-4b48-9535-22b6d69421ec"",""name"":""Dandenong"",""lat"":-37.98576,""lng"":145.1987,""distanceKm"":7.87},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"169","COOLAROO","Coolaroo",,"-37.6536112180001","144.935656291994","59","65","75","65","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:28:13.110Z","{""accessibility"":{""accessibilityScore"":59,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":95.13,""count"":17,""nearestDistanceKm"":0.26},""train_station"":{""score"":41,""count"":2,""nearestDistanceKm"":1.18},""supermarket"":{""score"":83.75,""count"":7,""nearestDistanceKm"":0.52},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":89.13,""count"":19,""nearestDistanceKm"":0.29},""park"":{""score"":19.69,""count"":1,""nearestDistanceKm"":1.29}}},""safety"":{""safetyScore"":65,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":67.91,""zoning"":60.03,""rawSafety"":64.52},""crimeDetails"":{""averageInRadius"":8.3,""suburbCount"":3,""suburbNames"":[""CAMPBELLFIELD"",""COOLAROO"",""MEADOW HEIGHTS""]},""zoningDetails"":{""zoneCount"":17,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":6},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":2},{""label"":""INDUSTRIAL 1 ZONE"",""count"":2}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":75,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":80.09,""heat"":29.96,""zoning"":67.94,""airQuality"":95},""rawData"":{""avgGreen"":32.0359719327823,""minGreen"":5.33941342,""maxGreen"":82.51559852,""vegetationCount"":248,""avgHeat"":9.25929078693181,""minHeat"":3.99053749,""maxHeat"":10.91137795,""heatCount"":88,""zoningCount"":17,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":6},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":2},{""label"":""INDUSTRIAL 1 ZONE"",""count"":2}],""airQualitySite"":{""id"":""fd9971b2-130e-4163-b56c-a37beadc7846"",""name"":""Macleod"",""lat"":-37.722477,""lng"":145.0576,""distanceKm"":13.18},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"273","COTTLES BRIDGE","Cottles Bridge",,"-37.622414854","145.218822912997","6","74","79","48","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:28:34.135Z","{""accessibility"":{""accessibilityScore"":6,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":41.83,""count"":1,""nearestDistanceKm"":0.84},""park"":{""score"":0,""count"":0,""nearestDistanceKm"":null}}},""safety"":{""safetyScore"":74,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":83.9,""zoning"":60.23,""rawSafety"":73.72},""crimeDetails"":{""averageInRadius"":54,""suburbCount"":3,""suburbNames"":[""COTTLES BRIDGE"",""HURSTBRIDGE"",""PANTON HILL""]},""zoningDetails"":{""zoneCount"":15,""zoneMix"":[{""label"":""RURAL CONSERVATION ZONE - SCHEDULE 3"",""count"":11},{""label"":""PUBLIC CONSERVATION AND RESOURCE ZONE"",""count"":2},{""label"":""TRANSPORT ZONE 3 - SIGNIFICANT MUNICIPAL ROAD"",""count"":1}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":79,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":100,""heat"":44.52,""zoning"":60,""airQuality"":75},""rawData"":{""avgGreen"":63.0653918575,""minGreen"":41.70119513,""maxGreen"":82.87910204,""vegetationCount"":44,""avgHeat"":5.54681473333333,""minHeat"":4.80484287,""maxHeat"":6.89112445,""heatCount"":9,""zoningCount"":15,""zoneMix"":[{""label"":""RURAL CONSERVATION ZONE - SCHEDULE 3"",""count"":11},{""label"":""PUBLIC CONSERVATION AND RESOURCE ZONE"",""count"":2},{""label"":""TRANSPORT ZONE 3 - SIGNIFICANT MUNICIPAL ROAD"",""count"":1}],""airQualitySite"":{""id"":""fc15d85f-4141-4949-b2ef-e93c5c825205"",""name"":""Yarra Glen"",""lat"":-37.65686,""lng"":145.373459,""distanceKm"":14.14},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"170","COUANGAULT","Couangault",,"-37.5385798120001","144.606286027987","0","69","80","44","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:28:54.346Z","{""accessibility"":{""accessibilityScore"":0,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""park"":{""score"":0,""count"":0,""nearestDistanceKm"":null}}},""safety"":{""safetyScore"":69,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":75.59,""zoning"":60,""rawSafety"":68.89},""crimeDetails"":{""averageInRadius"":30.25,""suburbCount"":2,""suburbNames"":[""GISBORNE"",""GISBORNE SOUTH""]},""zoningDetails"":{""zoneCount"":3,""zoneMix"":[{""label"":""RURAL LIVING ZONE - SCHEDULE 3"",""count"":1},{""label"":""RURAL LIVING ZONE - SCHEDULE 5"",""count"":1},{""label"":""RURAL CONSERVATION ZONE - SCHEDULE 3"",""count"":1}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":80,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":92.62,""heat"":44.86,""zoning"":60,""airQuality"":95},""rawData"":{""avgGreen"":37.049200436,""minGreen"":22.12289259,""maxGreen"":65.79969646,""vegetationCount"":15,""avgHeat"":5.46177913,""minHeat"":4.65360518,""maxHeat"":6.07677319,""heatCount"":6,""zoningCount"":3,""zoneMix"":[{""label"":""RURAL LIVING ZONE - SCHEDULE 3"",""count"":1},{""label"":""RURAL LIVING ZONE - SCHEDULE 5"",""count"":1},{""label"":""RURAL CONSERVATION ZONE - SCHEDULE 3"",""count"":1}],""airQualitySite"":{""id"":""3420cbd3-a860-455b-813d-38656d72ef11"",""name"":""Gisborne"",""lat"":-37.4853172,""lng"":144.5862,""distanceKm"":6.18},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"171","CRAIGIEBURN","Craigieburn",,"-37.594338834","144.934073964994","70","66","72","69","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:29:10.587Z","{""accessibility"":{""accessibilityScore"":70,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":94.56,""count"":18,""nearestDistanceKm"":0.29},""train_station"":{""score"":41.5,""count"":1,""nearestDistanceKm"":1.17},""supermarket"":{""score"":82.81,""count"":5,""nearestDistanceKm"":0.55},""hospital"":{""score"":29,""count"":1,""nearestDistanceKm"":1.28},""school"":{""score"":98.88,""count"":20,""nearestDistanceKm"":0.03},""park"":{""score"":70,""count"":3,""nearestDistanceKm"":0.32}}},""safety"":{""safetyScore"":66,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":65.25,""zoning"":67.65,""rawSafety"":66.28},""crimeDetails"":{""averageInRadius"":0.7,""suburbCount"":1,""suburbNames"":[""CRAIGIEBURN""]},""zoningDetails"":{""zoneCount"":34,""zoneMix"":[{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6},{""label"":""INDUSTRIAL 3 ZONE"",""count"":6},{""label"":""COMMERCIAL 1 ZONE"",""count"":5}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":72,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":68.91,""heat"":33.12,""zoning"":61.76,""airQuality"":95},""rawData"":{""avgGreen"":27.5648600985393,""minGreen"":0.34327,""maxGreen"":84.00788681,""vegetationCount"":356,""avgHeat"":8.45422587904412,""minHeat"":6.41624749,""maxHeat"":9.83254702,""heatCount"":136,""zoningCount"":34,""zoneMix"":[{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6},{""label"":""INDUSTRIAL 3 ZONE"",""count"":6},{""label"":""COMMERCIAL 1 ZONE"",""count"":5}],""airQualitySite"":{""id"":""fd9971b2-130e-4163-b56c-a37beadc7846"",""name"":""Macleod"",""lat"":-37.722477,""lng"":145.0576,""distanceKm"":17.92},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"51","CRANBOURNE","Cranbourne",,"-38.104554861","145.279025849998","82","66","74","74","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:29:25.311Z","{""accessibility"":{""accessibilityScore"":82,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":95.31,""count"":19,""nearestDistanceKm"":0.25},""train_station"":{""score"":73.5,""count"":1,""nearestDistanceKm"":0.53},""supermarket"":{""score"":90.94,""count"":12,""nearestDistanceKm"":0.29},""hospital"":{""score"":68.06,""count"":3,""nearestDistanceKm"":0.73},""school"":{""score"":94,""count"":20,""nearestDistanceKm"":0.16},""park"":{""score"":58.75,""count"":3,""nearestDistanceKm"":0.68}}},""safety"":{""safetyScore"":66,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":66.13,""zoning"":65.37,""rawSafety"":65.8},""crimeDetails"":{""averageInRadius"":3.23,""suburbCount"":3,""suburbNames"":[""CRANBOURNE"",""CRANBOURNE EAST"",""CRANBOURNE WEST""]},""zoningDetails"":{""zoneCount"":83,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":40},{""label"":""ACTIVITY CENTRE ZONE - SCHEDULE 1"",""count"":8},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":74,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":82.75,""heat"":20.7,""zoning"":77.17,""airQuality"":96},""rawData"":{""avgGreen"":33.1015946918837,""minGreen"":0.29205892,""maxGreen"":86.43834228,""vegetationCount"":430,""avgHeat"":11.6209786828144,""minHeat"":7.81092684,""maxHeat"":14.08082933,""heatCount"":167,""zoningCount"":83,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":40},{""label"":""ACTIVITY CENTRE ZONE - SCHEDULE 1"",""count"":8},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":6}],""airQualitySite"":{""id"":""69088979-01eb-4b48-9535-22b6d69421ec"",""name"":""Dandenong"",""lat"":-37.98576,""lng"":145.1987,""distanceKm"":14.97},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"261","CRANBOURNE EAST","Cranbourne East",,"-38.112579379","145.294686862998","71","65","70","69","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:29:46.887Z","{""accessibility"":{""accessibilityScore"":71,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":96.25,""count"":18,""nearestDistanceKm"":0.2},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":71.25,""count"":9,""nearestDistanceKm"":0.92},""hospital"":{""score"":92.56,""count"":4,""nearestDistanceKm"":0.17},""school"":{""score"":94.38,""count"":18,""nearestDistanceKm"":0.15},""park"":{""score"":91.88,""count"":6,""nearestDistanceKm"":0.26}}},""safety"":{""safetyScore"":65,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":65.89,""zoning"":63.94,""rawSafety"":65.05},""crimeDetails"":{""averageInRadius"":2.55,""suburbCount"":2,""suburbNames"":[""CRANBOURNE"",""CRANBOURNE EAST""]},""zoningDetails"":{""zoneCount"":40,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":9},{""label"":""ACTIVITY CENTRE ZONE - SCHEDULE 1"",""count"":7},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":5}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":70,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":74.32,""heat"":15.5,""zoning"":70.13,""airQuality"":96},""rawData"":{""avgGreen"":29.7274490170056,""minGreen"":0.29205892,""maxGreen"":95.92810176,""vegetationCount"":354,""avgHeat"":12.9462320244144,""minHeat"":10.20749441,""maxHeat"":15.08183601,""heatCount"":111,""zoningCount"":40,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":9},{""label"":""ACTIVITY CENTRE ZONE - SCHEDULE 1"",""count"":7},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":5}],""airQualitySite"":{""id"":""69088979-01eb-4b48-9535-22b6d69421ec"",""name"":""Dandenong"",""lat"":-37.98576,""lng"":145.1987,""distanceKm"":16.42},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
"124","CRANBOURNE NORTH","Cranbourne North",,"-38.077072329","145.297892923998","46","67","72","60","default","20","suburb-score-v1","2025","completed",,"2026-05-10T10:30:03.388Z","{""accessibility"":{""accessibilityScore"":46,""time"":20,""persona"":""default"",""breakdown"":{""bus_stop"":{""score"":97.94,""count"":19,""nearestDistanceKm"":0.11},""train_station"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""supermarket"":{""score"":70,""count"":5,""nearestDistanceKm"":0.96},""hospital"":{""score"":0,""count"":0,""nearestDistanceKm"":null},""school"":{""score"":67,""count"":11,""nearestDistanceKm"":0.88},""park"":{""score"":23.13,""count"":1,""nearestDistanceKm"":1.18}}},""safety"":{""safetyScore"":67,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""crime"":66.33,""zoning"":68.27,""rawSafety"":67.16},""crimeDetails"":{""averageInRadius"":3.8,""suburbCount"":4,""suburbNames"":[""CRANBOURNE"",""CRANBOURNE EAST"",""CRANBOURNE NORTH"",""NARRE WARREN SOUTH""]},""zoningDetails"":{""zoneCount"":35,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":5},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":4}]},""missingData"":{""crime"":false,""zoning"":false},""weights"":{""crime"":0.57,""zoning"":0.43}},""environment"":{""environmentScore"":72,""time"":20,""persona"":""default"",""radiusMeters"":1600,""scores"":{""green"":81.9,""heat"":12.78,""zoning"":76.71,""airQuality"":96},""rawData"":{""avgGreen"":32.7603849270213,""minGreen"":7.65079146,""maxGreen"":94.92373614,""vegetationCount"":282,""avgHeat"":13.6404474449485,""minHeat"":9.05013779,""maxHeat"":15.67807595,""heatCount"":97,""zoningCount"":35,""zoneMix"":[{""label"":""PUBLIC PARK AND RECREATION ZONE"",""count"":12},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 2"",""count"":5},{""label"":""GENERAL RESIDENTIAL ZONE - SCHEDULE 1"",""count"":4}],""airQualitySite"":{""id"":""69088979-01eb-4b48-9535-22b6d69421ec"",""name"":""Dandenong"",""lat"":-37.98576,""lng"":145.1987,""distanceKm"":13.36},""airQualitySource"":""EPA Victoria AirWatch""},""missingData"":{""green"":false,""heat"":false,""zoning"":false,""airQuality"":false},""weights"":{""green"":0.35,""heat"":0.3,""zoning"":0.15,""airQuality"":0.2}}}"
